"","pgroup","trialtype","node3","predicted","normpred"
"130","2","c5","A=1",4.16115003360969,0.24656999406541
"131","2","c5","Au=0",0,0
"132","2","c5","Au=1",6.03142294620322,0.357393486906125
"133","2","c5","B=0",0,0
"134","2","c5","B=1",4.17594920870413,0.247446922915785
"135","2","c5","Bu=0",0,0
"136","2","c5","Bu=1",2.50761900369071,0.14858959611268
"137","2","d1","A=0",0.864578572869015,0.0830974498166557
"138","2","d1","A=1",0,0
"139","2","d1","Au=0",0.701641212010209,0.0674370117811711
"140","2","d1","Au=1",0,0
"141","2","d1","B=0",8.21619823101865,0.789685450936111
"142","2","d1","B=1",0,0
"143","2","d1","Bu=0",0.621975557871251,0.0597800874660619
"144","2","d1","Bu=1",0,0
"145","2","d2","A=0",0.623466810286905,0.063078336314248
"146","2","d2","A=1",0,0
"147","2","d2","Au=0",0.516920008226538,0.0522986205335817
"148","2","d2","Au=1",0,0
"149","2","d2","B=0",0,0
"150","2","d2","B=1",0,0
"151","2","d2","Bu=0",8.74362164963757,0.88462304315217
"152","2","d2","Bu=1",0,0
"153","2","d3","A=0",0,0
"154","2","d3","A=1",0,0
"155","2","d3","Au=0",0,0
"156","2","d3","Au=1",0.0346037343167456,0.00259752449780229
"157","2","d3","B=0",0,0
"158","2","d3","B=1",8.32392832345431,0.624834520465603
"159","2","d3","Bu=0",0,0
"160","2","d3","Bu=1",4.96328043948284,0.372567955036595
"161","2","d4","A=0",0,0
"162","2","d4","A=1",0,0
"163","2","d4","Au=0",3.82885350337724,0.314746603276218
"164","2","d4","Au=1",0,0
"165","2","d4","B=0",7.80928919963802,0.641953850524626
"166","2","d4","B=1",0,0
"167","2","d4","Bu=0",0.526733624552542,0.0432995461991561
"168","2","d4","Bu=1",0,0
"169","2","d5","A=0",0,0
"170","2","d5","A=1",4.88410409675574,0.400695674223041
"171","2","d5","Au=0",0,0
"172","2","d5","Au=1",7.03923389196036,0.577504187968948
"173","2","d5","B=0",0,0
"174","2","d5","B=1",0,0
"175","2","d5","Bu=0",0,0
"176","2","d5","Bu=1",0.265723213968803,0.0218001378080104
"177","2","d6","A=0",0,0
"178","2","d6","A=1",0,0
"179","2","d6","Au=0",2.88317149135311,0.254528875614758
"180","2","d6","Au=1",0,0
"181","2","d6","B=0",0,0
"182","2","d6","B=1",0,0
"183","2","d6","Bu=0",8.44431142935463,0.745471124385242
"184","2","d6","Bu=1",0,0
"185","2","d7","A=0",0,0
"186","2","d7","A=1",0.363146710798925,0.0276388274320589
"187","2","d7","Au=0",0,0
"188","2","d7","Au=1",0.438395392791431,0.0333659489348401
"189","2","d7","B=0",0,0
"190","2","d7","B=1",7.70470274224033,0.586399224268349
"191","2","d7","Bu=0",0,0
"192","2","d7","Bu=1",4.63276084070224,0.352595999364752
"193","3","c1","A=0",2.49946218204402,0.669997836801694
"194","3","c1","A=1",0,0
"195","3","c1","Au=0",0.141972995628107,0.0380568270400071
"196","3","c1","Au=1",0,0
"197","3","c1","B=0",0.788858477136765,0.211458879842737
"198","3","c1","B=1",0,0
"199","3","c1","Bu=0",0.300258960070385,0.0804864563155616
"200","3","c1","Bu=1",0,0
"201","3","c2","A=0",5.04039404938529,0.847419434664843
"202","3","c2","A=1",0,0
"203","3","c2","Au=0",0.289245938595925,0.0486296562059377
"204","3","c2","Au=1",0,0
"205","3","c2","B=0",0,0
"206","3","c2","B=1",0,0
"207","3","c2","Bu=0",0.618293046359428,0.10395090912922
"208","3","c2","Bu=1",0,0
"209","3","c3","A=0",0,0
"210","3","c3","A=1",0,0
"211","3","c3","Au=0",0.7373052588497,0.114984314969476
"212","3","c3","Au=1",0,0
"213","3","c3","B=0",4.11747796669539,0.64212939989201
"214","3","c3","B=1",0,0
"215","3","c3","Bu=0",1.55744142479462,0.242886285138514
"216","3","c3","Bu=1",0,0
"217","3","c4","A=0",0,0
"218","3","c4","A=1",0,0
"219","3","c4","Au=0",2.34451151451034,0.323045798817904
"220","3","c4","Au=1",0,0
"221","3","c4","B=0",0,0
"222","3","c4","B=1",0,0
"223","3","c4","Bu=0",4.91300900762437,0.676954201182096
"224","3","c4","Bu=1",0,0
"225","3","c5","A=0",0,0
"226","3","c5","A=1",6.44353952973287,0.379364669387124
"227","3","c5","Au=0",0,0
"228","3","c5","Au=1",3.35691622592669,0.197639109426205
"229","3","c5","B=0",0,0
"230","3","c5","B=1",2.70488152228279,0.159250436766497
"231","3","c5","Bu=0",0,0
"232","3","c5","Bu=1",4.47974343646002,0.263745784420174
"233","3","d1","A=0",3.53622618028362,0.315824475356034
"234","3","d1","A=1",0,0
"235","3","d1","Au=0",0.116418765075393,0.0103974953883138
"236","3","d1","Au=1",0,0
"237","3","d1","B=0",5.69762182647494,0.508861235787585
"238","3","d1","B=1",0,0
"239","3","d1","Bu=0",1.84654176017477,0.164916793468067
"240","3","d1","Bu=1",0,0
"241","3","d2","A=0",2.72782581212401,0.230442348908234
"242","3","d2","A=1",0,0
"243","3","d2","Au=0",0.100507571701081,0.00849071843330989
"244","3","d2","Au=1",0,0
"245","3","d2","B=0",0,0
"246","3","d2","B=1",0,0
"247","3","d2","Bu=0",9.00901259467071,0.761066932658456
"248","3","d2","Bu=1",0,0
"249","3","d3","A=0",0,0
"250","3","d3","A=1",0,0
"251","3","d3","Au=0",0,0
"252","3","d3","Au=1",0.0332754895186147,0.00250575081706858
"253","3","d3","B=0",0,0
"254","3","d3","B=1",4.98668104552691,0.37551303632361
"255","3","d3","Bu=0",0,0
"256","3","d3","Bu=1",8.25969174121161,0.621981212859322
"257","3","d4","A=0",0,0
"258","3","d4","A=1",0,0
"259","3","d4","Au=0",6.22324978886539,0.559563784882248
"260","3","d4","Au=1",0,0
"261","3","d4","B=0",3.97253156064561,0.357190354084166
"262","3","d4","B=1",0,0
"263","3","d4","Bu=0",0.925827941510194,0.0832458610335864
"264","3","d4","Bu=1",0,0
"265","3","d5","A=0",0,0
"266","3","d5","A=1",7.78337637996007,0.642167379335177
"267","3","d5","Au=0",0,0
"268","3","d5","Au=1",4.05336242317284,0.33442262043069
"269","3","d5","B=0",0,0
"270","3","d5","B=1",0,0
"271","3","d5","Bu=0",0,0
"272","3","d5","Bu=1",0.283740421486132,0.0234100002341327
"273","3","d6","A=0",0,0
"274","3","d6","A=1",0,0
"275","3","d6","Au=0",5.75043085438054,0.473460025021115
"276","3","d6","Au=1",0,0
"277","3","d6","B=0",0,0
"278","3","d6","B=1",0,0
"279","3","d6","Bu=0",6.39511586653657,0.526539974978885
"280","3","d6","Bu=1",0,0
"281","3","d7","A=0",0,0
"282","3","d7","A=1",4.58536996591952,0.379459968210517
"283","3","d7","Au=0",0,0
"284","3","d7","Au=1",2.29670867883582,0.190062963018753
"285","3","d7","B=0",0,0
"286","3","d7","B=1",2.02208099250013,0.167336287984632
"287","3","d7","Bu=0",0,0
"288","3","d7","Bu=1",3.17977635088977,0.263140780786098
