"","pA","peA","pB","peB"
"1",0.0652709602445316,0.0455546199315557,0.0667300993326591,0.0945489910400368
"2",-0.0245366452405958,0.0933846280100372,0.141264008158057,0.183496602556668
"3",0.106066079658019,-0.00754191777312035,0.103497724070265,0.139306618778838
"4",-0.0458655382081393,-0.0183192300225088,0.256478640147226,0.360561607161903
"5",0.134454485902432,0.0947988001573981,-0.0239135572745029,0.18808173122855
"6",-0.0617771290235059,0.231279342063701,-0.0589868460774141,0.45768753728221
"7",0.277121208759135,-0.0217268868170016,-0.0467655135966418,0.356297907552752
"8",-0.109849154586748,-0.0432848934662096,-0.107888397446915,0.826149692396323
"9",0.161444680563585,0.11143957240394,0.161318590817862,-0.0348376758828864
"10",-0.0702026228320973,0.275088345806458,0.397620114166098,-0.0853604003761562
"11",0.327609406618764,-0.0241305253164686,0.311023132843182,-0.0682479232727127
"12",-0.136859607982844,-0.0575616457402371,0.775183467236207,-0.165987215943124
"13",0.39013697790108,0.274325702603981,-0.070032892652289,-0.0849012814215815
"14",-0.178722558949921,0.715043388735196,-0.178006883981941,-0.224645365524502
"15",0.794853863662717,-0.058493285084093,-0.134907744291124,-0.173448839692583
"16",0.465839645077317,0.201401446680378,0.470637642976779,0.562787228322831
