Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
666c4a21edfb4b90713bb6c3,6235af56808f1fc2e7b57c6a,RETURNED,Not Applicable,2024-06-14T13:49:05.492000Z,,,,,,662,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4a6f8e92cf5d1eb205fc,5ef877bb6b0ed15b3f6ae106,RETURNED,Not Applicable,2024-06-14T13:49:38.290000Z,,,,,,2124,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4aaee5d2c46ca384babc,661eabc5de8abcbe99028acb,RETURNED,Not Applicable,2024-06-14T13:50:54.592000Z,,,,,,288,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4ad87b9db114315b0a6d,611578fe8cbea39bf4928b6d,RETURNED,Not Applicable,2024-06-14T13:51:25.209000Z,,,,,,3160,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4ae1ba8853f46313c746,651c87603dfec9f96c475d93,RETURNED,Not Applicable,2024-06-14T13:51:37.111000Z,,,,,,838,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4b0085981ad3ef49bed6,5ef0e873ba594769fa910258,RETURNED,Not Applicable,2024-06-14T13:52:06.097000Z,,,,,,1156,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4b1f3ce888c3487b8ad4,5641193817bdbe00122a0f23,RETURNED,Not Applicable,2024-06-14T13:53:03.941000Z,,,,,,1865,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4b30edf1a415b75db478,615f09d51152027754156b2b,RETURNED,Not Applicable,2024-06-14T13:52:54.581000Z,,,,,,960,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4c9680a4d01921631030,5d696d1c55742f001af29220,RETURNED,Not Applicable,2024-06-14T13:58:48.864000Z,,,,,,2698,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4e5545957ed5e7830030,5ddf094935cf74e7e614743c,RETURNED,Not Applicable,2024-06-14T14:06:18.867000Z,,,,,,814,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4ee212da3c4197cda619,5697d67b7183b8000d0fc222,RETURNED,Not Applicable,2024-06-14T14:08:44.387000Z,,,,,,1384,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4f30043b314f7cae3169,603b9be389c6cf7d0dd74fd1,RETURNED,Not Applicable,2024-06-14T14:09:58.238000Z,,,,,,1331,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c4f5365d6556ccd128171,64f3036a5b5f2feae0b1f51b,RETURNED,Not Applicable,2024-06-14T14:10:46.911000Z,,,,,,810,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c52202154054ca4302542,5f6fd1451758e95a989623b2,RETURNED,Not Applicable,2024-06-14T14:22:36.821000Z,,,,,,6608,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
666c577a76192addb30ca1bd,5fd8ea198512a801831f6b85,RETURNED,Not Applicable,2024-06-14T14:45:17.558000Z,,,,,,1623,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
