Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6669cce5df028873508257be,5b1ceecd2767e20001e51eaa,RETURNED,Not Applicable,2024-06-12T16:29:31.718000Z,,,2024-06-14T11:49:28.640669Z,,,395,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6669cd4180a465a06ed5e90e,5e85a9f9e36a991a1f5f1b7c,APPROVED,Not Applicable,2024-06-12T16:31:02.411000Z,2024-06-12T16:43:54.517000Z,2024-06-13T10:44:58.533000Z,2024-06-12T16:45:30.068420Z,773.0,C12J6S4R,55,English,30,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6669cda38d37bd0adb91304a,5debd90ad614902d003cc0da,RETURNED,Not Applicable,2024-06-12T16:39:27.600000Z,,,2024-06-14T11:49:28.658577Z,,,12,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6669cdad4209b704efc5a017,601a86dd7ac4f02ca520ef38,APPROVED,Not Applicable,2024-06-12T16:32:49.458000Z,2024-06-12T16:43:55.054000Z,2024-06-13T10:45:01.538000Z,2024-06-12T16:45:30.395943Z,666.0,C12J6S4R,307,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6669ce1037665c0bfc6bbc36,593badf0eec240000193ef44,APPROVED,Not Applicable,2024-06-12T16:34:36.455000Z,2024-06-12T17:04:59.750000Z,2024-06-13T10:45:05.790000Z,2024-06-12T17:05:06.991371Z,1824.0,C12J6S4R,478,English,29,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6669ce162b9eac51f466930d,66686a8f511060baf1925bf0,RETURNED,Not Applicable,2024-06-12T16:35:24.687000Z,,,2024-06-14T11:49:28.686426Z,,,9,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6669cf99cb1bb92253ea4bf8,603cc6a69fc1fea96e18a0f0,APPROVED,Not Applicable,2024-06-12T16:41:00.885000Z,2024-06-12T16:52:19.034000Z,2024-06-13T10:45:08.096000Z,2024-06-12T16:52:19.546406Z,679.0,C12J6S4R,640,"English, Portuguese",33,Female,DATA_EXPIRED,Brazil,United Kingdom,Spain,Portuguese,DATA_EXPIRED,DATA_EXPIRED
6669cfa60d52ce5351193cb1,60509a0a3b167b0b85516e9a,APPROVED,Not Applicable,2024-06-12T16:41:16.419000Z,2024-06-12T17:01:42.600000Z,2024-06-13T10:45:11.357000Z,2024-06-12T17:01:43.634984Z,1227.0,C12J6S4R,517,English,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
