Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
668586acedc3cbd45888cd2a,6329bbb069db655bc16bd035,APPROVED,Not Applicable,2024-07-03T17:13:22.148000Z,2024-07-03T17:30:34.390000Z,2024-07-04T07:38:06.883000Z,2024-07-03T17:31:13.514695Z,1033.0,NOCODE,46,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
668586df2c39594027f5c1ec,5e8528b142701c106fb7db0f,APPROVED,Not Applicable,2024-07-03T17:14:23.845000Z,2024-07-03T17:33:18.352000Z,2024-07-04T07:38:07.334000Z,2024-07-03T17:33:18.784271Z,1135.0,NOCODE,20,English,31,Male,Asian,Vietnam,United Kingdom,Vietnam,Vietnamese,No,DATA_EXPIRED
668587cbca2ec9f9dc88cdab,66579100f05894369fe16c64,APPROVED,Not Applicable,2024-07-03T17:18:10.230000Z,2024-07-03T17:29:16.138000Z,2024-07-04T07:38:07.596000Z,2024-07-03T17:29:47.352556Z,666.0,NOCODE,8,"English, Hindi, Nepali",21,Male,Asian,Nepal,United States,Nepal,Nepali,Yes,Part-Time
66858870f65ad95b6b4434ac,632fc453431e3369da22be81,APPROVED,Not Applicable,2024-07-03T17:20:53.737000Z,2024-07-03T17:34:15.658000Z,2024-07-04T07:38:07.870000Z,2024-07-03T17:34:16.229704Z,802.0,NOCODE,4,English,18,Male,White,Pakistan,United States,Pakistan,English,No,Full-Time
66858884763565064cf70cfc,614a4492903df4380cb1a0c2,APPROVED,Not Applicable,2024-07-03T17:21:15.510000Z,2024-07-03T17:38:48.317000Z,2024-07-04T07:38:08.136000Z,2024-07-03T17:39:44.306981Z,1053.0,NOCODE,1235,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
668588bb663cc6127bdc0939,6684616bcea947393abcad81,APPROVED,Not Applicable,2024-07-03T17:22:13.303000Z,2024-07-03T17:42:56.252000Z,2024-07-04T07:38:08.397000Z,2024-07-03T17:42:57.550903Z,1243.0,NOCODE,0,"English, Indonesian",24,Male,Asian,Indonesia,United Kingdom,Indonesia,Indonesian,No,Full-Time
668588fcfbd787de3b249163,6682db08d953c2cf476e16a2,APPROVED,Not Applicable,2024-07-03T17:23:28.890000Z,2024-07-03T17:35:05.128000Z,2024-07-04T07:38:08.928000Z,2024-07-03T17:35:05.904879Z,697.0,NOCODE,6,"French, English, Portuguese",22,Female,White,Brazil,United States,Brazil,Portuguese,No,Full-Time
66858946fe184ba09e701487,668565ac73f6ca0437ad4676,APPROVED,Not Applicable,2024-07-03T17:24:27.075000Z,2024-07-03T17:39:39.430000Z,2024-07-04T07:38:09.439000Z,2024-07-03T17:40:22.618928Z,913.0,NOCODE,2,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6685894c2fe125af0e75f394,6441584c2bff52766e55f7b3,APPROVED,Not Applicable,2024-07-03T17:24:28.578000Z,2024-07-03T17:44:29.163000Z,2024-07-04T07:38:09.716000Z,2024-07-03T17:44:29.674311Z,1201.0,C12J6S4R,585,English,23,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
668589f59f73fd89c9fbba84,5cdf33619e96db0015aec6a6,APPROVED,Not Applicable,2024-07-03T17:27:20.921000Z,2024-07-03T17:38:07.947000Z,2024-07-04T07:38:09.976000Z,2024-07-03T17:39:28.318761Z,648.0,NOCODE,664,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
