Z,Y,X,Q,T,U,tag,P,K,C,S,F,R
0,0,0,0,0,0,ADLANS,A,D,L,A,N,S
0,1,0,0,0,0,AKLANS,A,K,L,A,N,S
1,0,0,0,0,0,FDLANS,F,D,L,A,N,S
1,1,0,0,0,0,FKLANS,F,K,L,A,N,S
0,0,1,0,0,0,ADSANS,A,D,S,A,N,S
0,1,1,0,0,0,AKSANS,A,K,S,A,N,S
1,0,1,0,0,0,FDSANS,F,D,S,A,N,S
1,1,1,0,0,0,FKSANS,F,K,S,A,N,S
0,0,0,1,0,0,ADLBNS,A,D,L,B,N,S
0,1,0,1,0,0,AKLBNS,A,K,L,B,N,S
1,0,0,1,0,0,FDLBNS,F,D,L,B,N,S
1,1,0,1,0,0,FKLBNS,F,K,L,B,N,S
0,0,1,1,0,0,ADSBNS,A,D,S,B,N,S
0,1,1,1,0,0,AKSBNS,A,K,S,B,N,S
1,0,1,1,0,0,FDSBNS,F,D,S,B,N,S
1,1,1,1,0,0,FKSBNS,F,K,S,B,N,S
0,0,0,0,0,1,ADLANL,A,D,L,A,N,L
0,1,0,0,0,1,AKLANL,A,K,L,A,N,L
1,0,0,0,0,1,FDLANL,F,D,L,A,N,L
1,1,0,0,0,1,FKLANL,F,K,L,A,N,L
0,0,1,0,0,1,ADSANL,A,D,S,A,N,L
0,1,1,0,0,1,AKSANL,A,K,S,A,N,L
1,0,1,0,0,1,FDSANL,F,D,S,A,N,L
1,1,1,0,0,1,FKSANL,F,K,S,A,N,L
0,0,0,1,0,1,ADLBNL,A,D,L,B,N,L
0,1,0,1,0,1,AKLBNL,A,K,L,B,N,L
1,0,0,1,0,1,FDLBNL,F,D,L,B,N,L
1,1,0,1,0,1,FKLBNL,F,K,L,B,N,L
0,0,1,1,0,1,ADSBNL,A,D,S,B,N,L
0,1,1,1,0,1,AKSBNL,A,K,S,B,N,L
1,0,1,1,0,1,FDSBNL,F,D,S,B,N,L
1,1,1,1,0,1,FKSBNL,F,K,S,B,N,L
0,0,0,0,1,0,ADLAPS,A,D,L,A,P,S
0,1,0,0,1,0,AKLAPS,A,K,L,A,P,S
1,0,0,0,1,0,FDLAPS,F,D,L,A,P,S
1,1,0,0,1,0,FKLAPS,F,K,L,A,P,S
0,0,1,0,1,0,ADSAPS,A,D,S,A,P,S
0,1,1,0,1,0,AKSAPS,A,K,S,A,P,S
1,0,1,0,1,0,FDSAPS,F,D,S,A,P,S
1,1,1,0,1,0,FKSAPS,F,K,S,A,P,S
0,0,0,1,1,0,ADLBPS,A,D,L,B,P,S
0,1,0,1,1,0,AKLBPS,A,K,L,B,P,S
1,0,0,1,1,0,FDLBPS,F,D,L,B,P,S
1,1,0,1,1,0,FKLBPS,F,K,L,B,P,S
0,0,1,1,1,0,ADSBPS,A,D,S,B,P,S
0,1,1,1,1,0,AKSBPS,A,K,S,B,P,S
1,0,1,1,1,0,FDSBPS,F,D,S,B,P,S
1,1,1,1,1,0,FKSBPS,F,K,S,B,P,S
0,0,0,0,1,1,ADLAPL,A,D,L,A,P,L
0,1,0,0,1,1,AKLAPL,A,K,L,A,P,L
1,0,0,0,1,1,FDLAPL,F,D,L,A,P,L
1,1,0,0,1,1,FKLAPL,F,K,L,A,P,L
0,0,1,0,1,1,ADSAPL,A,D,S,A,P,L
0,1,1,0,1,1,AKSAPL,A,K,S,A,P,L
1,0,1,0,1,1,FDSAPL,F,D,S,A,P,L
1,1,1,0,1,1,FKSAPL,F,K,S,A,P,L
0,0,0,1,1,1,ADLBPL,A,D,L,B,P,L
0,1,0,1,1,1,AKLBPL,A,K,L,B,P,L
1,0,0,1,1,1,FDLBPL,F,D,L,B,P,L
1,1,0,1,1,1,FKLBPL,F,K,L,B,P,L
0,0,1,1,1,1,ADSBPL,A,D,S,B,P,L
0,1,1,1,1,1,AKSBPL,A,K,S,B,P,L
1,0,1,1,1,1,FDSBPL,F,D,S,B,P,L
1,1,1,1,1,1,FKSBPL,F,K,S,B,P,L
