"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","uprior","condition","posterior"
"45",0,0,1,1,0,1,0,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c01001",0.00010572571327622
"46",1,0,1,1,0,1,0,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c11001",8.87922446510131e-05
"47",0,1,1,1,0,1,0,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c01001",2.24390882299669e-05
"48",1,1,1,1,0,1,0,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c11001",1.88451508163911e-05
"49",0,0,0,0,1,1,0,0,0,FALSE,0.0247122658534633,0.395396253655413,"c00100",0.758292074795712
"50",1,0,0,0,1,1,0,0,0,FALSE,0.0247122658534633,0.395396253655413,"c10100",0.919231001033751
"51",0,1,0,0,1,1,0,0,0,FALSE,0.0052448992460284,0.0839183879364545,"c00100",0.160938926238039
"52",1,1,0,0,1,1,0,0,0,TRUE,0.0052448992460284,0.0839183879364545,"c10101",0.147260914122314
"53",0,0,1,0,1,1,0,0,0,FALSE,0.0247122658534633,0.395396253655413,"c01100",0.758389123689478
"54",1,0,1,0,1,1,0,0,0,FALSE,0.0247122658534633,0.395396253655413,"c11100",0.91934864745883
"55",0,1,1,0,1,1,0,0,0,FALSE,0.0052448992460284,0.0839183879364545,"c01100",0.160959523769352
"56",1,1,1,0,1,1,0,0,0,TRUE,0.0052448992460284,0.0839183879364545,"c11101",0.147246691414585
"57",0,0,0,1,1,1,0,0,0,FALSE,3.16276292899535e-06,5.06042068639257e-05,"c00100",9.70488937653906e-05
"58",1,0,0,1,1,1,0,0,0,FALSE,3.16276292899535e-06,5.06042068639257e-05,"c10100",0.000117646425078637
"59",0,1,0,1,1,1,0,0,0,FALSE,6.71260701063133e-07,1.07401712170101e-05,"c00100",2.05975313132467e-05
"60",1,1,0,1,1,1,0,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c10101",1.88469710886811e-05
"61",0,0,1,1,1,1,0,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c01101",0.00010572571327622
"62",1,0,1,1,1,1,0,0,0,TRUE,3.16276292899535e-06,5.06042068639257e-05,"c11101",8.87922446510131e-05
"63",0,1,1,1,1,1,0,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c01101",2.24390882299669e-05
"64",1,1,1,1,1,1,0,0,0,TRUE,6.71260701063133e-07,1.07401712170101e-05,"c11101",1.88451508163911e-05
"65",0,0,0,0,0,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c00010",3.07896570664235e-09
"66",1,0,0,0,0,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c10010",3.73244139394169e-09
"67",0,1,0,0,0,0,1,0,0,FALSE,1.95787845672427e-11,3.13260553075884e-10,"c00010",6.53475687299333e-10
"68",1,1,0,0,0,0,1,0,0,TRUE,1.95787845672427e-11,3.13260553075884e-10,"c10011",5.1816876301906e-10
"69",0,0,1,0,0,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c01010",3.07935976353112e-09
"70",1,0,1,0,0,0,1,0,0,FALSE,9.22488891811912e-11,1.47598222689906e-09,"c11010",3.73291908495332e-09
