"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","uprior","condition","posterior"
"221",0,0,1,1,1,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c01111",3.1826672090069e-14
"222",1,0,1,1,1,0,1,1,0,TRUE,1.03573013170063e-15,1.657168210721e-14,"c11111",2.7409162195665e-14
"223",0,1,1,1,1,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c01111",6.75485159631372e-15
"224",1,1,1,1,1,0,1,1,0,TRUE,2.19822019520893e-16,3.51715231233429e-15,"c11111",5.81728502706951e-15
"225",0,0,0,0,0,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c00011",0.0666253876219036
"226",1,0,0,0,0,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c10011",0.0573758935117634
"227",0,1,0,0,0,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c00011",0.0141404858371374
"228",1,1,0,0,0,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c10011",0.0121773852063784
"229",0,0,1,0,0,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c01011",0.0666175381732273
"230",1,0,1,0,0,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c11011",0.0573710912563693
"231",0,1,1,0,0,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c01011",0.0141388198803333
"232",1,1,1,0,0,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c11011",0.0121763659819234
"233",0,0,0,1,0,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c00011",8.52695205490318e-06
"234",1,0,0,1,0,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c10011",7.34316918137066e-06
"235",0,1,0,1,0,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c00011",1.80974924229436e-06
"236",1,1,0,1,0,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c10011",1.55850470091282e-06
"237",0,0,1,1,0,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c01011",8.52594745478136e-06
"238",1,0,1,1,0,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c11011",7.3425545717907e-06
"239",0,1,1,1,0,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c01011",1.80953602726775e-06
"240",1,1,1,1,0,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c11011",1.55837425697289e-06
"241",0,0,0,0,1,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c00111",0.0666253876219036
"242",1,0,0,0,1,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c10111",0.0573758935117634
"243",0,1,0,0,1,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c00111",0.0141404858371374
"244",1,1,0,0,1,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c10111",0.0121773852063784
"245",0,0,1,0,1,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c01111",0.0666175381732273
"246",1,0,1,0,1,1,1,1,0,TRUE,0.00216792353879996,0.0346867766207993,"c11111",0.0573710912563693
"247",0,1,1,0,1,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c01111",0.0141388198803333
"248",1,1,1,0,1,1,1,1,0,TRUE,0.000460117279472598,0.00736187647156157,"c11111",0.0121763659819234
"249",0,0,0,1,1,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c00111",8.52695205490318e-06
"250",1,0,0,1,1,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c10111",7.34316918137066e-06
"251",0,1,0,1,1,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c00111",1.80974924229436e-06
"252",1,1,0,1,1,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c10111",1.55850470091282e-06
"253",0,0,1,1,1,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c01111",8.52594745478136e-06
"254",1,0,1,1,1,1,1,1,0,TRUE,2.77458499437922e-07,4.43933599100675e-06,"c11111",7.3425545717907e-06
"255",0,1,1,1,1,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c01111",1.80953602726775e-06
"256",1,1,1,1,1,1,1,1,0,TRUE,5.88874319795399e-08,9.42198911672638e-07,"c11111",1.55837425697289e-06
"257",0,0,0,0,0,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c00001",2.83064296854033e-09
"258",1,0,0,0,0,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c10001",2.3771736331585e-09
"259",0,1,0,0,0,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c00001",6.00771991508504e-10
"260",1,1,0,0,0,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c10001",5.04528248043441e-10
"261",0,0,1,0,0,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c01001",2.83024835351022e-09
"262",1,0,1,0,0,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c11001",2.37694404171525e-09
"263",0,1,1,0,0,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c01001",6.0068823892644e-10
"264",1,1,1,0,0,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c11001",5.04479519853371e-10
"265",0,0,0,1,0,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c00001",3.6227566906278e-13
"266",1,0,0,1,0,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c10001",3.04239064411215e-13
"267",0,1,0,1,0,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c00001",7.68889180291623e-14
"268",1,1,0,1,0,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c10001",6.45713043475994e-14
"269",0,0,1,1,0,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c01001",3.6222516483966e-13
"270",1,0,1,1,0,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c11001",3.0420968048868e-13
"271",0,1,1,1,0,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c01001",7.68781990783655e-14
"272",1,1,1,1,0,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c11001",6.45650679419997e-14
"273",0,0,0,0,1,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c00101",2.83064296854033e-09
"274",1,0,0,0,1,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c10101",2.3771736331585e-09
"275",0,1,0,0,1,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c00101",6.00771991508504e-10
"276",1,1,0,0,1,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c10101",5.04528248043441e-10
"277",0,0,1,0,1,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c01101",2.83024835351022e-09
"278",1,0,1,0,1,0,0,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c11101",2.37694404171525e-09
"279",0,1,1,0,1,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c01101",6.0068823892644e-10
"280",1,1,1,0,1,0,0,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c11101",5.04479519853371e-10
"281",0,0,0,1,1,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c00101",3.6227566906278e-13
"282",1,0,0,1,1,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c10101",3.04239064411215e-13
"283",0,1,0,1,1,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c00101",7.68889180291623e-14
"284",1,1,0,1,1,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c10101",6.45713043475994e-14
"285",0,0,1,1,1,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c01101",3.6222516483966e-13
"286",1,0,1,1,1,0,0,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c11101",3.0420968048868e-13
"287",0,1,1,1,1,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c01101",7.68781990783655e-14
"288",1,1,1,1,1,0,0,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c11101",6.45650679419997e-14
"289",0,0,0,0,0,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c00001",0.758292074795712
"290",1,0,0,0,0,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c10001",0.636813595522772
"291",0,1,0,0,0,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c00001",0.160938926238039
"292",1,1,0,0,0,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c10001",0.135156491388665
"293",0,0,1,0,0,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c01001",0.758186362611854
"294",1,0,1,0,0,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c11001",0.636752090990485
"295",0,1,1,0,0,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c01001",0.160916490021275
"296",1,1,1,0,0,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c11001",0.135143437746521
"297",0,0,0,1,0,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c00001",9.70488937653906e-05
"298",1,0,0,1,0,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c10001",8.15016496076339e-05
"299",0,1,0,1,0,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c00001",2.05975313132467e-05
"300",1,1,0,1,0,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c10001",1.72978043823222e-05
"301",0,0,1,1,0,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c01001",9.70353643473181e-05
"302",1,0,1,1,0,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c11001",8.14937780407029e-05
"303",0,1,1,1,0,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c01001",2.05946598471064e-05
"304",1,1,1,1,0,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c11001",1.72961337311684e-05
"305",0,0,0,0,1,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c00101",0.758292074795712
"306",1,0,0,0,1,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c10101",0.636813595522772
"307",0,1,0,0,1,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c00101",0.160938926238039
"308",1,1,0,0,1,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c10101",0.135156491388665
"309",0,0,1,0,1,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c01101",0.758186362611854
"310",1,0,1,0,1,1,0,0,1,TRUE,0.0226809888212687,0.362895821140299,"c11101",0.636752090990485
"311",0,1,1,0,1,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c01101",0.160916490021275
"312",1,1,1,0,1,1,0,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c11101",0.135143437746521
"313",0,0,0,1,1,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c00101",9.70488937653906e-05
"314",1,0,0,1,1,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c10101",8.15016496076339e-05
"315",0,1,0,1,1,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c00101",2.05975313132467e-05
"316",1,1,0,1,1,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c10101",1.72978043823222e-05
"317",0,0,1,1,1,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c01101",9.70353643473181e-05
"318",1,0,1,1,1,1,0,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c11101",8.14937780407029e-05
"319",0,1,1,1,1,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c01101",2.05946598471064e-05
"320",1,1,1,1,1,1,0,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c11101",1.72961337311684e-05
"321",0,0,0,0,0,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c00011",2.6019943563711e-09
"322",1,0,0,0,0,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c10011",2.24076371542605e-09
"323",0,1,0,0,0,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c00011",5.52243906682817e-10
"324",1,1,0,0,0,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c10011",4.75576784065668e-10
"325",0,0,1,0,0,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c01011",2.60168780324045e-09
"326",1,0,1,0,0,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c11011",2.24057616767768e-09
"327",0,1,1,0,0,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c01011",5.52178844244052e-10
"328",1,1,1,0,0,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c11011",4.75536979174854e-10
"329",0,0,0,1,0,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c00011",3.3301241337335e-13
"330",1,0,0,1,0,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c10011",2.86780842105347e-13
"331",0,1,0,1,0,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c00011",7.06781226042533e-14
"332",1,1,0,1,0,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c10011",6.08659938935921e-14
"333",0,0,1,1,0,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c01011",3.32973179622663e-13
"334",1,0,1,1,0,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c11011",2.86756839083143e-13
"335",0,1,1,1,0,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c01011",7.06697956839046e-14
"336",1,1,1,1,0,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c11011",6.08608995232982e-14
"337",0,0,0,0,1,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c00111",2.6019943563711e-09
"338",1,0,0,0,1,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c10111",2.24076371542605e-09
"339",0,1,0,0,1,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c00111",5.52243906682817e-10
"340",1,1,0,0,1,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c10111",4.75576784065668e-10
"341",0,0,1,0,1,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c01111",2.60168780324045e-09
"342",1,0,1,0,1,0,1,0,1,TRUE,8.46662963525793e-11,1.35466074164127e-09,"c11111",2.24057616767768e-09
"343",0,1,1,0,1,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c01111",5.52178844244052e-10
"344",1,1,1,0,1,0,1,0,1,TRUE,1.79694649020388e-11,2.8751143843262e-10,"c11111",4.75536979174854e-10
"345",0,0,0,1,1,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c00111",3.3301241337335e-13
"346",1,0,0,1,1,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c10111",2.86780842105347e-13
"347",0,1,0,1,1,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c00111",7.06781226042533e-14
"348",1,1,0,1,1,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c10111",6.08659938935921e-14
"349",0,0,1,1,1,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c01111",3.32973179622663e-13
"350",1,0,1,1,1,0,1,0,1,TRUE,1.0835891173522e-14,1.73374258776352e-13,"c11111",2.86756839083143e-13
"351",0,1,1,1,1,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c01111",7.06697956839046e-14
"352",1,1,1,1,1,0,1,0,1,TRUE,2.29979548549112e-15,3.67967277678579e-14,"c11111",6.08608995232982e-14
"353",0,0,0,0,0,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c00011",0.697040114570446
"354",1,0,0,0,0,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c10011",0.600271170112835
"355",0,1,0,0,0,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c00011",0.147938889660728
"356",1,1,0,0,0,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c10011",0.127400774425392
"357",0,0,1,0,0,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c01011",0.696957993012884
"358",1,0,1,0,0,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c11011",0.600220928534218
"359",0,1,1,0,0,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c01011",0.147921460287885
"360",1,1,1,0,0,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c11011",0.127390111217923
"361",0,0,0,1,0,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c00011",8.92096518975058e-05
"362",1,0,0,1,0,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c10011",7.68248211408534e-05
"363",0,1,0,1,0,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c00011",1.89337407888929e-05
"364",1,1,0,1,0,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c10011",1.63052003756854e-05
"365",0,0,1,1,0,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c01011",8.91991416909764e-05
"366",1,0,1,1,0,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c11011",7.68183910464506e-05
"367",0,1,1,1,0,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c01011",1.89315101162938e-05
"368",1,1,1,1,0,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c11011",1.6303835660791e-05
"369",0,0,0,0,1,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c00111",0.697040114570446
"370",1,0,0,0,1,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c10111",0.600271170112835
"371",0,1,0,0,1,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c00111",0.147938889660728
"372",1,1,0,0,1,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c10111",0.127400774425392
"373",0,0,1,0,1,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c01111",0.696957993012884
"374",1,0,1,0,1,1,1,0,1,TRUE,0.0226809888212687,0.362895821140299,"c11111",0.600220928534218
"375",0,1,1,0,1,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c01111",0.147921460287885
"376",1,1,1,0,1,1,1,0,1,TRUE,0.00481378364384903,0.0770205383015845,"c11111",0.127390111217923
"377",0,0,0,1,1,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c00111",8.92096518975058e-05
"378",1,0,0,1,1,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c10111",7.68248211408534e-05
"379",0,1,0,1,1,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c00111",1.89337407888929e-05
"380",1,1,0,1,1,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c10111",1.63052003756854e-05
"381",0,0,1,1,1,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c01111",8.91991416909764e-05
"382",1,0,1,1,1,1,1,0,1,TRUE,2.90279293134155e-06,4.64446869014649e-05,"c11111",7.68183910464506e-05
"383",0,1,1,1,1,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c01111",1.89315101162938e-05
"384",1,1,1,1,1,1,1,0,1,TRUE,6.16085006014784e-07,9.85736009623654e-06,"c11111",1.6303835660791e-05
"385",0,0,0,0,0,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c00001",2.48322738102024e-10
"386",1,0,0,0,0,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c10001",2.08541406348486e-10
"387",0,1,0,0,0,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c00001",5.27036957908287e-11
"388",1,1,0,0,0,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c10001",4.42605575469556e-11
"389",0,0,1,0,0,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c01001",2.48288119859504e-10
"390",1,0,1,0,0,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c11001",2.08521265067348e-10
"391",0,1,1,0,0,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c01001",5.26963484599457e-11
"392",1,1,1,0,0,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c11001",4.42562827875757e-11
"393",0,0,0,1,0,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c00001",3.17812197049359e-14
"394",1,0,0,1,0,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c10001",2.66898645826568e-14
"395",0,1,0,1,0,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c00001",6.74520484105752e-15
"396",1,1,0,1,0,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c10001",5.66462223481455e-15
"397",0,0,1,1,0,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c01001",3.17767891401808e-14
"398",1,0,1,1,0,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c11001",2.66872868304707e-14
"399",0,1,1,1,0,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c01001",6.74426450374157e-15
"400",1,1,1,1,0,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c11001",5.66407513603464e-15
"401",0,0,0,0,1,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c00101",2.48322738102024e-10
"402",1,0,0,0,1,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c10101",2.08541406348486e-10
"403",0,1,0,0,1,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c00101",5.27036957908287e-11
"404",1,1,0,0,1,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c10101",4.42605575469556e-11
"405",0,0,1,0,1,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c01101",2.48288119859504e-10
"406",1,0,1,0,1,0,0,1,1,TRUE,7.42748794846126e-12,1.1883980717538e-10,"c11101",2.08521265067348e-10
"407",0,1,1,0,1,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c01101",5.26963484599457e-11
"408",1,1,1,0,1,0,0,1,1,TRUE,1.57640040665514e-12,2.52224065064822e-11,"c11101",4.42562827875757e-11
"409",0,0,0,1,1,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c00101",3.17812197049359e-14
"410",1,0,0,1,1,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c10101",2.66898645826568e-14
"411",0,1,0,1,1,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c00101",6.74520484105752e-15
"412",1,1,0,1,1,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c10101",5.66462223481455e-15
"413",0,0,1,1,1,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c01101",3.17767891401808e-14
"414",1,0,1,1,1,0,0,1,1,TRUE,9.50596099857869e-16,1.52095375977259e-14,"c11101",2.66872868304707e-14
"415",0,1,1,1,1,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c01101",6.74426450374157e-15
"416",1,1,1,1,1,0,0,1,1,TRUE,2.01753283045202e-16,3.22805252872324e-15,"c11101",5.66407513603464e-15
"417",0,0,0,0,0,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c00001",0.0665224001709537
"418",1,0,0,0,0,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c10001",0.0558655038654892
"419",0,1,0,0,0,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c00001",0.0141186279141513
"420",1,1,0,0,0,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c10001",0.0118568220672503
"421",0,0,1,0,0,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c01001",0.066513126398444
"422",1,0,1,0,0,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c11001",0.0558601082807994
"423",0,1,1,0,0,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c01001",0.0141166596607045
"424",1,1,1,0,0,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c11001",0.0118556769153554
"425",0,0,0,1,0,1,0,1,1,TRUE,2.54652210421876e-07,4.07443536675002e-06,"c00001",8.51377135775676e-06
"426",1,0,0,1,0,1,0,1,1,TRUE,2.54652210421876e-07,4.07443536675002e-06,"c10001",7.14986418821864e-06
"427",0,1,0,1,0,1,0,1,1,TRUE,5.40470547849007e-08,8.64752876558411e-07,"c00001",1.80695178823105e-06
"428",1,1,0,1,0,1,0,1,1,TRUE,5.40470547849007e-08,8.64752876558411e-07,"c10001",1.5174778999368e-06
"429",0,0,1,1,0,1,0,1,1,TRUE,2.54652210421876e-07,4.07443536675002e-06,"c01001",8.51258446764804e-06
"430",1,0,1,1,0,1,0,1,1,TRUE,2.54652210421876e-07,4.07443536675002e-06,"c11001",7.14917364226311e-06
"431",0,1,1,1,0,1,0,1,1,TRUE,5.40470547849007e-08,8.64752876558411e-07,"c01001",1.8066998842141e-06
"432",1,1,1,1,0,1,0,1,1,TRUE,5.40470547849007e-08,8.64752876558411e-07,"c11001",1.51733133935903e-06
"433",0,0,0,0,1,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c00101",0.0665224001709537
"434",1,0,0,0,1,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c10101",0.0558655038654892
"435",0,1,0,0,1,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c00101",0.0141186279141513
"436",1,1,0,0,1,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c10101",0.0118568220672503
"437",0,0,1,0,1,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c01101",0.066513126398444
"438",1,0,1,0,1,1,0,1,1,TRUE,0.00198972647188465,0.0318356235501544,"c11101",0.0558601082807994
"439",0,1,1,0,1,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c01101",0.0141166596607045
"440",1,1,1,0,1,1,0,1,1,TRUE,0.000422296965161857,0.00675675144258971,"c11101",0.0118556769153554
"441",0,0,0,1,1,1,0,1,1,TRUE,2.54652210421876e-07,4.07443536675002e-06,"c00101",8.51377135775676e-06
"442",1,0,0,1,1,1,0,1,1,TRUE,2.54652210421876e-07,4.07443536675002e-06,"c10101",7.14986418821864e-06
"443",0,1,0,1,1,1,0,1,1,TRUE,5.40470547849007e-08,8.64752876558411e-07,"c00101",1.80695178823105e-06
"444",1,1,0,1,1,1,0,1,1,TRUE,5.40470547849007e-08,8.64752876558411e-07,"c10101",1.5174778999368e-06
