"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","condition","posterior","node","ces","node3","uvars","uvars_id","s_hat"
"1",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"P",0.00386131217055627,"P=0","00000",1,0.0139775907440009
"2",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"Pu",-0.00155665056784094,"Pu=0","00000",1,0.0132404396832451
"3",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"K",0.352467252609903,"K=0","00000",1,0.45646626151633
"4",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"Ku",0.351571152968366,"Ku=0","00000",1,0.452394141359257
"5",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"C",-0.0126993082397597,"C=0","00000",1,0.0118443289326207
"6",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"Cu",-0.013898717446279,"Cu=0","00000",1,0.0117031155171939
"7",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"S",0,"S=0","00000",1,0.0134481596049562
"8",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"Su",0.00022018484430028,"Su=0","00000",1,0.0134778030374402
"9",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c00000",2.91534261371429e-08,"br",0,"br=0","00000",1,0.0134481596049562
"10",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"P",-0.000753767886367246,"P=1","00000",1,0.0133761159147326
"11",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"Pu",0.00398069775098226,"Pu=0","00000",1,0.0140246343329571
"12",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"K",0.350900765731493,"K=0","00000",1,0.450345946925791
"13",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"Ku",0.35255124292951,"Ku=0","00000",1,0.457840481756383
"14",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"C",-0.00799433035071748,"C=0","00000",1,0.01244184138346
"15",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"Cu",-0.0159571041330392,"Cu=0","00000",1,0.0114895434866836
"16",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"S",0,"S=0","00000",1,0.0134773217302288
"17",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"Su",0.000366396496399577,"Su=0","00000",1,0.0135267927395351
"18",1,0,0,0,0,0,0,0,0,FALSE,1.82207395284679e-09,"c10000",2.91534261371429e-08,"br",0,"br=0","00000",1,0.0134773217302288
"19",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"P",-0.00170879338449579,"P=0","10000",17,0.0130008396571224
"20",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"Pu",-0.000231927374746207,"Pu=1","10000",17,0.0131942694728119
"21",0,1,0,0,0,0,0,0,0,FALSE,0.0276860529446664,"c00000",0.442980537804344,"K",0.35365810582925,"K=0","10000",17,0.45426600316704
