"","P","Pu","K","Ku","C","Cu","S","Su","br","sem","prior","condition","posterior","Pces","Puces","Kces","Kuces","Cces","Cuces","Sces","Suces","brces","Pcfs","Pucfs","Kcfs","Kucfs","Ccfs","Cucfs","Scfs","Sucfs","brcfs","E_count"
"1",0,0,0,0,0,0,0,0,0,FALSE,9.22488891811912e-11,"c00000",2.83064296854033e-09,0.11441729729317,0.109942517802049,0.116355320790833,0.112774260526767,0.000909945791500701,0.00202559736177953,0.027973599837647,0.0982153212965315,0.853485769301641,14892,15045,15012,14982,5095,3,29912,2339,14484,81135
"2",1,0,0,0,0,0,0,0,0,FALSE,9.22488891811912e-11,"c10000",3.43141496004883e-09,-0.0996693426447258,0.560674251928815,0.0870402687230591,0.088862407418454,-0.00233657542938274,-0.000374180453461071,0.0199202144090369,0.0746470510961014,0.666969698001816,14982,15054,15067,15057,5184,4,29907,2383,14528,72354
"3",0,1,0,0,0,0,0,0,0,FALSE,1.95787845672427e-11,"c00000",6.00771991508504e-10,0.564766752487977,-0.0996993891990495,0.0926035004518074,0.0872007882311967,-0.00331099176082461,-0.00119252342434785,0.0132242617414399,0.071806548392033,0.663273814175149,15054,15070,15016,15039,5373,5,29746,2481,14321,72467
"4",1,1,0,0,0,0,0,0,0,TRUE,1.95787845672427e-11,"c10001",5.49713078846894e-10,0.596647095025388,0.594736460584699,-0.0304729804435664,-0.0320294723284758,-0.00190884959438418,0.00285805410134677,-0.00348320934456539,-0.0207473855838706,-0.225356454437718,15172,14863,15010,14851,5274,2,30264,2395,14479,76925
"5",0,0,1,0,0,0,0,0,0,FALSE,9.22488891811912e-11,"c01000",2.83100524420939e-09,0.0930621542999811,0.0953677916829534,-0.0949800756173261,0.566534010964946,-0.00348443413248102,-0.00336271615787074,0.0209070890811007,0.0767580209110526,0.667147321846306,15004,14913,14815,14914,5178,3,30067,2419,14366,72626
"6",1,0,1,0,0,0,0,0,0,FALSE,9.22488891811912e-11,"c11000",3.43185412463592e-09,-0.0834046242041865,0.470867170751147,-0.0824061498365458,0.474057105380386,-0.000711125858643045,0.00511376869316431,0.00924847665175606,0.0690482821923668,0.550932092320833,14891,15012,14824,14879,5238,8,29844,2342,14152,64804
"7",0,1,1,0,0,0,0,0,0,FALSE,1.95787845672427e-11,"c01000",6.00848880426533e-10,0.475360140349468,-0.0894498837897846,-0.0813705515645383,0.473569416962315,-0.00296612164206099,0.00360807823484063,0.0138277112613256,0.0649423848970358,0.552952529808868,14999,14954,14917,15054,5271,3,30225,2479,14246,64795
"8",1,1,1,0,0,0,0,0,0,TRUE,1.95787845672427e-11,"c11001",5.49659986629573e-10,0.562651447868506,0.557981813399835,0.0298403874501891,-0.177156390271179,0.0012948611762396,-0.0016157613175945,-0.00531486080998213,-0.0241150555077215,-0.208944372211466,14934,14942,14904,14726,5305,1,29816,2262,14327,79298
"9",0,0,0,1,0,0,0,0,0,FALSE,1.18063381429017e-14,"c00000",3.6227566906278e-13,0.0924378689787694,0.0888001956986545,0.562794990752212,-0.097475577827217,0.00328835084351658,0.00513196224539241,0.0182789136041901,0.0715800158986217,0.666344144881871,14920,14996,15051,15060,5210,5,30068,2493,14457,72431
"10",1,0,0,1,0,0,0,0,0,FALSE,1.18063381429017e-14,"c10000",4.39164587091942e-13,-0.0833088603270022,0.472439352465186,0.472275802833335,-0.0844902499865343,0.00141685009280037,-0.0022030885469385,0.0115566649556123,0.0610286051508203,0.55627090450819,15015,14715,14774,15038,5346,5,29838,2454,14199,65155
"11",0,1,0,1,0,0,0,0,0,FALSE,2.50576189133152e-15,"c00000",7.68889180291623e-14,0.471079222049855,-0.0823286510126767,0.47536764829828,-0.0789165478765362,0.00218124789173746,0.0013868955516502,0.0151479433104007,0.0557802896158282,0.552273818687847,15104,15030,14971,14934,5248,2,30038,2404,14208,64810
"12",1,1,0,1,0,0,0,0,0,TRUE,2.50576189133152e-15,"c10001",7.03542183331278e-14,0.560755494337438,0.549719172387195,-0.177911156794506,0.0320536688128149,-0.000547952631847729,0.00323990846104352,-0.00639483417565302,-0.0222312207099485,-0.210311053398885,15193,14829,14988,14962,5376,2,30155,2382,14515,79334
"13",0,0,1,1,0,0,0,0,0,TRUE,1.18063381429017e-14,"c01001",3.94665534332359e-13,-0.0325249433363098,-0.0306542187311503,0.600172843276917,0.601086173870409,0.00265045844906534,0.00286104549285731,-0.00502465188602521,-0.0257529929411591,-0.224146133603069,15041,15132,14926,15054,5223,2,30050,2373,14360,76945
"14",1,0,1,1,0,0,0,0,0,TRUE,1.18063381429017e-14,"c11001",3.31454265890903e-13,0.0395672475332036,-0.178205180505078,0.55818328020534,0.558299957835465,-0.000956411512333365,0.00455158546691604,-0.00103954270391248,-0.0177292327453703,-0.210987093781935,15056,15126,15201,15050,5274,4,29914,2368,14498,79206
"15",0,1,1,1,0,0,0,0,0,TRUE,2.50576189133152e-15,"c01001",8.37633010152764e-14,-0.17653476054225,0.0303588564905758,0.554594250854975,0.555709169005587,0.00257528784721614,-0.000102484681517466,-0.00646735959492329,-0.026202278334358,-0.20911259130826,15028,14866,15031,14958,5327,5,30176,2464,14434,79414
