"situationVerbose","situation","Path","p_short","p_long","Ku","KSu","combo_id","Ku_var","KSu_var","K","KS","PrUn","Pr","posterior"
"AbsentNoLazySee_pizza","0000","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"AbsentNoLazySee_pizza","0000","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"AbsentNoLazySee_hotdog","0001","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"AbsentNoLazySee_hotdog","0001","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"AbsentNoSportySee_pizza","0010","Short",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.21918096920632,0.0270708885394029,0.21918096920632
"AbsentNoSportySee_pizza","0010","Long",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.213953247424126,0.0270708885394029,0.213953247424126
"AbsentNoSportySee_hotdog","0011","Short",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.21918096920632,0.0270708885394029,0.21918096920632
"AbsentNoSportySee_hotdog","0011","Long",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.213953247424126,0.0270708885394029,0.213953247424126
"AbsentYesLazySee_pizza","0100","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"AbsentYesLazySee_pizza","0100","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"AbsentYesLazySee_hotdog","0101","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"AbsentYesLazySee_hotdog","0101","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"AbsentYesSportySee_pizza","0110","Short",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.21918096920632,0.0270708885394029,0.21918096920632
"AbsentYesSportySee_pizza","0110","Long",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.213953247424126,0.0270708885394029,0.213953247424126
"AbsentYesSportySee_hotdog","0111","Short",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.21918096920632,0.0270708885394029,0.21918096920632
"AbsentYesSportySee_hotdog","0111","Long",0.506034759644323,0.493965240355677,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.213953247424126,0.0270708885394029,0.213953247424126
"HotdogNoLazySee_pizza","1000","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"HotdogNoLazySee_pizza","1000","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"HotdogNoLazySee_hotdog","1001","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"HotdogNoLazySee_hotdog","1001","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"HotdogNoSportySee_pizza","1010","Short",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.236647100181759,0.0270708885394029,0.236647100181759
"HotdogNoSportySee_pizza","1010","Long",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.196487116448688,0.0270708885394029,0.196487116448688
"HotdogNoSportySee_hotdog","1011","Short",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.236647100181759,0.0270708885394029,0.236647100181759
"HotdogNoSportySee_hotdog","1011","Long",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.196487116448688,0.0270708885394029,0.196487116448688
"HotdogYesLazySee_pizza","1100","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"HotdogYesLazySee_pizza","1100","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"HotdogYesLazySee_hotdog","1101","Short",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.317826801319113,0.0270708885394029,0.317826801319113
"HotdogYesLazySee_hotdog","1101","Long",0.733783638225665,0.266216361774335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.115307415311334,0.0270708885394029,0.115307415311334
"HotdogYesSportySee_pizza","1110","Short",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.236647100181759,0.0270708885394029,0.236647100181759
"HotdogYesSportySee_pizza","1110","Long",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.196487116448688,0.0270708885394029,0.196487116448688
"HotdogYesSportySee_hotdog","1111","Short",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.236647100181759,0.0270708885394029,0.236647100181759
"HotdogYesSportySee_hotdog","1111","Long",0.546359745075665,0.453640254924335,0,0,1,0.516055468046936,0.839317173151341,0.5,0.5,0.196487116448688,0.0270708885394029,0.196487116448688
"AbsentNoLazySee_pizza","0000","Short",0.733783638225665,0.266216361774335,1,0,2,0.483944531953064,0.839317173151341,0.5,0.5,0.298050407621159,0.0253864347825559,0.298050407621159
"AbsentNoLazySee_pizza","0000","Long",0.733783638225665,0.266216361774335,1,0,2,0.483944531953064,0.839317173151341,0.5,0.5,0.108132548899735,0.0253864347825559,0.108132548899735
"AbsentNoLazySee_hotdog","0001","Short",0.733783638225665,0.266216361774335,1,0,2,0.483944531953064,0.839317173151341,0.5,0.5,0.298050407621159,0.0253864347825559,0.298050407621159
"AbsentNoLazySee_hotdog","0001","Long",0.733783638225665,0.266216361774335,1,0,2,0.483944531953064,0.839317173151341,0.5,0.5,0.108132548899735,0.0253864347825559,0.108132548899735
"AbsentNoSportySee_pizza","0010","Short",0.506034759644323,0.493965240355677,1,0,2,0.483944531953064,0.839317173151341,0.5,0.5,0.205542694774672,0.0253864347825559,0.205542694774672
"AbsentNoSportySee_pizza","0010","Long",0.506034759644323,0.493965240355677,1,0,2,0.483944531953064,0.839317173151341,0.5,0.5,0.200640261746223,0.0253864347825559,0.200640261746223
"AbsentNoSportySee_hotdog","0011","Short",0.506034759644323,0.493965240355677,1,0,2,0.483944531953064,0.839317173151341,0.5,0.5,0.205542694774672,0.0253864347825559,0.205542694774672
