"","P","K","C","S","sem_food","prior_food","sem_path","prior_path","pChoice"
"1",0,0,0,0,FALSE,0.521430022543668,FALSE,0.999991668506024,0.521425678252577
"2",0,0,0,0,FALSE,0.521430022543668,TRUE,8.33149397551877e-06,4.34429109147719e-06
"3",0,0,0,0,TRUE,0.478569977456332,FALSE,0.999991668506024,0.478565990253448
"4",0,0,0,0,TRUE,0.478569977456332,TRUE,8.33149397551877e-06,3.98720288404158e-06
"5",0,0,0,1,FALSE,0.47937598775942,FALSE,0.999991668506024,0.479371993841266
"6",0,0,0,1,FALSE,0.47937598775942,TRUE,8.33149397551877e-06,3.99391815402597e-06
"7",0,0,0,1,TRUE,0.520624012240579,FALSE,0.999991668506024,0.520619674664758
"8",0,0,0,1,TRUE,0.520624012240579,TRUE,8.33149397551877e-06,4.3375758214928e-06
"9",0,0,1,0,FALSE,0.521430022543668,FALSE,0.51882686150675,0.270531902091725
"10",0,0,1,0,FALSE,0.521430022543668,TRUE,0.48117313849325,0.250898120451943
"11",0,0,1,0,TRUE,0.478569977456332,FALSE,0.51882686150675,0.248294959415025
"12",0,0,1,0,TRUE,0.478569977456332,TRUE,0.48117313849325,0.230275018041307
"13",0,0,1,1,FALSE,0.47937598775942,FALSE,0.51882686150675,0.248713139210918
"14",0,0,1,1,FALSE,0.47937598775942,TRUE,0.48117313849325,0.230662848548502
"15",0,0,1,1,TRUE,0.520624012240579,FALSE,0.51882686150675,0.270113722295832
"16",0,0,1,1,TRUE,0.520624012240579,TRUE,0.48117313849325,0.250510289944748
"17",0,1,0,0,FALSE,0.521363296630436,FALSE,0.999991668506036,0.521358952895277
"18",0,1,0,0,FALSE,0.521363296630436,TRUE,8.33149396373873e-06,4.3437351587914e-06
"19",0,1,0,0,TRUE,0.478636703369564,FALSE,0.999991668506036,0.478632715610759
"20",0,1,0,0,TRUE,0.478636703369564,TRUE,8.33149396373873e-06,3.98775880494733e-06
"21",0,1,0,1,FALSE,0.47931464338111,FALSE,0.999991668506036,0.479310649974052
"22",0,1,0,1,FALSE,0.47931464338111,TRUE,8.33149396373873e-06,3.99340705806131e-06
"23",0,1,0,1,TRUE,0.520685356618889,FALSE,0.999991668506036,0.520681018531984
"24",0,1,0,1,TRUE,0.520685356618889,TRUE,8.33149396373873e-06,4.33808690567743e-06
"25",0,1,1,0,FALSE,0.521363296630436,FALSE,0.518826862187089,0.270497283250285
"26",0,1,1,0,FALSE,0.521363296630436,TRUE,0.481173137812911,0.25086601338015
"27",0,1,1,0,TRUE,0.478636703369564,FALSE,0.518826862187089,0.248329578936804
"28",0,1,1,0,TRUE,0.478636703369564,TRUE,0.481173137812911,0.230307124432761
"29",0,1,1,1,FALSE,0.47931464338111,FALSE,0.518826862187089,0.248681312425745
"30",0,1,1,1,FALSE,0.47931464338111,TRUE,0.481173137812911,0.230633330955365
"31",0,1,1,1,TRUE,0.520685356618889,FALSE,0.518826862187089,0.270145549761344
"32",0,1,1,1,TRUE,0.520685356618889,TRUE,0.481173137812911,0.250539806857546
"33",1,0,0,0,FALSE,0.430138075424738,FALSE,0.999992886530257,0.430135015650553
"34",1,0,0,0,FALSE,0.430138075424738,TRUE,7.11346974291083e-06,3.05977418480777e-06
"35",1,0,0,0,TRUE,0.569861924575262,FALSE,0.999992886530257,0.569857870879704
"36",1,0,0,0,TRUE,0.569861924575262,TRUE,7.11346974291083e-06,4.05369555810306e-06
"37",1,0,0,1,FALSE,0.395446859338448,FALSE,0.999992886530257,0.395444046339179
"38",1,0,0,1,FALSE,0.395446859338448,TRUE,7.11346974291083e-06,2.81299926883317e-06
"39",1,0,0,1,TRUE,0.604553140661552,FALSE,0.999992886530257,0.604548840191077
"40",1,0,0,1,TRUE,0.604553140661552,TRUE,7.11346974291083e-06,4.30047047407766e-06
"41",1,0,1,0,FALSE,0.430138075424738,FALSE,0.589172053435945,0.253425333158978
"42",1,0,1,0,FALSE,0.430138075424738,TRUE,0.410827946564055,0.17671274226576
"43",1,0,1,0,TRUE,0.569861924575262,FALSE,0.589172053435945,0.335746720276966
"44",1,0,1,0,TRUE,0.569861924575262,TRUE,0.410827946564055,0.234115204298295
"45",1,0,1,1,FALSE,0.395446859338448,FALSE,0.589172053435945,0.232986238141229
"46",1,0,1,1,FALSE,0.395446859338448,TRUE,0.410827946564055,0.16246062119722
"47",1,0,1,1,TRUE,0.604553140661552,FALSE,0.589172053435945,0.356185815294716
"48",1,0,1,1,TRUE,0.604553140661552,TRUE,0.410827946564055,0.248367325366836
"49",1,1,0,0,FALSE,0.430083031881678,FALSE,0.999992886530267,0.430079972499048
"50",1,1,0,0,FALSE,0.430083031881678,TRUE,7.11346973285298e-06,3.05938262990396e-06
