"","condObs","node3","condition.x","sem.x","postces.x","postces_norm.x","cat.x","present_causes.x","condition.y","sem.y","postces.y","postces_norm.y","cat.y","present_causes.y","newProb","postces_norm","count","count_norm"
"1","0000","br_f=0",NA,NA,0,0,NA,NA,"c00000",FALSE,0.766559082907396,0.766559082907396,"Pizza","br",0.766559082907396,0.448212611769326,2,0.0689655172413793
"2","0000","br_p=1","c00001",TRUE,0.786517041331024,0.786517041331024,"Long","br",NA,NA,0,0,NA,NA,0.786517041331024,0.54721801281144,1,0.0344827586206897
"3","0000","C=0","c00001",TRUE,0.0357923286466357,0.0357923286466357,"Long","C","c00000",FALSE,0.0325899566997978,0.0325899566997978,"Pizza","C",0.0683822853464336,0.00041623708053214,1,0.0344827586206897
"4","0000","Cu_f=0",NA,NA,0,0,NA,NA,"c00000",FALSE,0.0239337436385553,0.0239337436385553,"Pizza","Cu",0.0239337436385553,0.00026687211829682,NA,NA
"5","0000","Cu_f=1",NA,NA,0,0,NA,NA,"c00000",FALSE,3.00357945869898e-06,3.00357945869898e-06,"Pizza","Cu",3.00357945869898e-06,0.000210074490688132,NA,NA
"6","0000","Cu_p=0","c00001",TRUE,0.0445402845005414,0.0445402845005414,"Long","Cu",NA,NA,0,0,NA,NA,0.0445402845005414,0.000327941419908407,NA,NA
"7","0000","Cu_p=1","c00001",TRUE,2.62289038249973e-11,2.62289038249973e-11,"Long","Cu",NA,NA,0,0,NA,NA,2.62289038249973e-11,0.000210068181083738,5,0.172413793103448
"8","0000","K=0","c00001",TRUE,0.0152668753554202,0.0152668753554202,"Long","K","c00000",FALSE,0.0217131507325573,0.0217131507325573,"Pizza","K",0.0369800260879775,0.000304062237924832,6,0.206896551724138
"9","0000","Ku=0","c00001",TRUE,0.00950094566454691,0.00950094566454691,"Long","Ku","c00000",FALSE,8.03609019665116e-11,8.03609019665116e-11,"Pizza","Ku",0.00950094574490782,0.00023100552016099,4,0.137931034482759
"10","0000","Ku=1","c00001",TRUE,0.0147218204164554,0.0147218204164554,"Long","Ku","c00000",FALSE,0.0217827373488816,0.0217827373488816,"Pizza","Ku",0.0365045577653371,0.000302619949831043,NA,NA
"11","0000","P=0","c00001",TRUE,0.0235731718992556,0.0235731718992556,"Long","P","c00000",FALSE,0.0570641521048988,0.0570641521048988,"Pizza","P",0.0806373240041544,0.000470504437120162,5,0.172413793103448
