"","set_o","node3","post","prior"
"1","o000","C=0",0.5,0.0309864826725026
"2","o000","C=1",0.5,0.0309864826725026
"3","o000","CSu=0",0.347710786454943,0.0215486685190567
"4","o000","CSu=1",0.652289213545057,0.0404242968259485
"5","o000","Cu=0",0.5,0.0309864826725026
"6","o000","Cu=1",0.5,0.0309864826725026
"7","o000","K=0",1,0.0619729653450052
"8","o000","KCu=0",0.5,0.0309864826725026
"9","o000","KCu=1",0.5,0.0309864826725026
"10","o000","KSu_p=0",0.839317173151341,0.0520149740851758
"11","o000","KSu_p=1",0.160682826848659,0.0099579912598294
"12","o000","Ku=0",0.516055468046936,0.0319814876373732
"13","o000","Ku=1",0.483944531953064,0.029991477707632
"14","o000","P=0",0.5,0.0309864826725026
"15","o000","P=1",0.5,0.0309864826725026
"16","o000","PCu=0",0.5,0.0309864826725026
"17","o000","PCu=1",0.5,0.0309864826725026
"18","o000","PKu=0",0.5,0.0309864826725026
"19","o000","PKu=1",0.5,0.0309864826725026
"20","o000","PSu=0",0.378123652362288,0.0234334440039749
"21","o000","PSu=1",0.621876347637712,0.0385395213410303
"22","o000","Pu=0",0.729771517193889,0.0452261049448287
"23","o000","Pu=1",0.270228482806111,0.0167468604001765
"24","o000","S=0",0.5,0.0309864826725026
"25","o000","S=1",0.5,0.0309864826725026
"26","o000","Su=0",0.5,0.0309864826725026
"27","o000","Su=1",0.5,0.0309864826725026
"28","o000","br_p=0",1,0.0619729653450052
"29","o001","C=0",0.5,0.000263517327497417
"30","o001","C=1",0.5,0.000263517327497417
"31","o001","CSu=0",0.347710786454943,0.000183255634377263
"32","o001","CSu=1",0.652289213545057,0.000343779020617571
"33","o001","Cu=0",0.5,0.000263517327497417
"34","o001","Cu=1",0.5,0.000263517327497417
"35","o001","K=0",1,0.000527034654994834
"36","o001","KCu=0",0.5,0.000263517327497417
"37","o001","KCu=1",0.5,0.000263517327497417
"38","o001","KSu_p=0",0.839317173151341,0.000442349236783056
"39","o001","KSu_p=1",0.160682826848659,8.46854182117776e-05
"40","o001","Ku=0",0.516055468046936,0.000271979115560314
"41","o001","Ku=1",0.483944531953064,0.000255055539434519
"42","o001","P=0",0.5,0.000263517327497417
"43","o001","P=1",0.5,0.000263517327497417
"44","o001","PCu=0",0.5,0.000263517327497417
"45","o001","PCu=1",0.5,0.000263517327497417
"46","o001","PKu=0",0.5,0.000263517327497417
"47","o001","PKu=1",0.5,0.000263517327497417
"48","o001","PSu=0",0.378123652362288,0.000199284268668145
"49","o001","PSu=1",0.621876347637711,0.000327750386326689
