"","condObs","node3","normed_count","postces_norm"
"1","0000","C=0",0.0333333333333333,0.0689632769571354
"2","0000","Cu=0",0,0.0685500021578245
"3","0000","Cu=1",0.0166666666666667,0.0692846511984712
"4","0000","K=0",0.3,0.0656072658973419
"5","0000","Ku=0",0,0.0680459554726705
"6","0000","Ku=1",0.05,0.0700929528151591
"7","0000","P=0",0.05,0.069057806028377
"8","0000","Pu=0",0.1,0.0692011084799742
"9","0000","Pu=1",0.0666666666666667,0.068220260963532
"10","0000","S=0",0,0.0725267762606801
"11","0000","Su=0",0.0666666666666667,0.0690855151476059
"12","0000","Su=1",0.0166666666666667,0.0686843122068424
"13","0000","Unclear",0.1,0.172680116414386
"14","0001","C=0",0.0161290322580645,0.0695803856329561
"15","0001","Cu=0",0,0.06907727353873
"16","0001","Cu=1",0.0645161290322581,0.0698525065527386
"17","0001","K=0",0.419354838709677,0.0778657327900435
"18","0001","Ku=0",0,0.0688377597704114
"19","0001","Ku=1",0.0645161290322581,0.070396079450285
"20","0001","P=0",0.0806451612903226,0.0695354895591977
"21","0001","Pu=0",0.0967741935483871,0.0696954548442812
"22","0001","Pu=1",0,0.0687575078268039
"23","0001","S=1",0,0.0667100480392877
"24","0001","Su=0",0.032258064516129,0.069584779134206
"25","0001","Su=1",0,0.0692306663240833
"26","0001","Unclear",0.0645161290322581,0.160876316536976
"27","0010","C=1",0.421052631578947,0.0691313179267566
"28","0010","Cu=0",0,0.0686975440084039
"29","0010","Cu=1",0.192982456140351,0.0692539510107194
"30","0010","K=0",0.105263157894737,0.0655940610868757
"31","0010","Ku=0",0,0.0680257640488085
"32","0010","Ku=1",0.105263157894737,0.0701292506037158
"33","0010","P=0",0.0350877192982456,0.069054223410311
"34","0010","Pu=0",0,0.0691881135884411
"35","0010","Pu=1",0.0526315789473684,0.0682203901386344
"36","0010","S=0",0,0.0724227353371175
"37","0010","Su=0",0,0.0690705635819854
"38","0010","Su=1",0,0.0685969372249657
"39","0010","Unclear",0.0350877192982456,0.172615148033265
"40","0011","C=1",0.322033898305085,0.0695985047494212
"41","0011","Cu=0",0,0.0690276385130538
"42","0011","Cu=1",0.23728813559322,0.0698589418263744
"43","0011","K=0",0.135593220338983,0.0778441199773406
"44","0011","Ku=0",0,0.0688407666412848
"45","0011","Ku=1",0.101694915254237,0.0703502574449237
"46","0011","P=0",0.0338983050847458,0.0695700292060029
"47","0011","Pu=0",0.0847457627118644,0.0697124285741623
"48","0011","Pu=1",0,0.0687690264149303
"49","0011","S=1",0,0.066700211157208
"50","0011","Su=0",0,0.0695953531931021
"51","0011","Su=1",0.0169491525423729,0.0692898449248894
"52","0011","Unclear",0.0508474576271186,0.160842877377307
"53","0100","C=0",0,0.0650707489784089
"54","0100","Cu=0",0,0.0645392491905416
"55","0100","Cu=1",0.233333333333333,0.0643565622464329
"56","0100","K=1",0.0333333333333333,0.102549019846885
"57","0100","Ku=0",0.0166666666666667,0.0643610548071582
"58","0100","Ku=1",0.0666666666666667,0.122047760074169
"59","0100","P=0",0.05,0.0654397020036473
"60","0100","Pu=0",0.0666666666666667,0.0643540732172223
"61","0100","Pu=1",0.0666666666666667,0.0650199124397735
"62","0100","S=0",0,0.0748572975602906
"63","0100","Su=0",0.133333333333333,0.0644139290747721
"64","0100","Su=1",0.05,0.0645889678428972
