"situationVerbose","situation","Food","p_pizza","p_hotdog","Pu","PSu","KSu","CSu","combo_id","Pu_var","PSu_var","KSu_var","CSu_var","P","PS","KS","CS","PrUn","Pr","posterior"
"AbsentNoLazySee_pizza","0000","Pizza",0.520982913338995,0.479017086661005,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0119715911178057,0.00143617847285521,0.0119715911178057
"AbsentNoLazySee_pizza","0000","Hotdog",0.520982913338995,0.479017086661005,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0110072644478777,0.00143617847285521,0.0110072644478777
"AbsentNoLazySee_hotdog","0001","Pizza",0.470194273080328,0.529805726919672,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0108045262889244,0.00143617847285521,0.0108045262889244
"AbsentNoLazySee_hotdog","0001","Hotdog",0.470194273080328,0.529805726919672,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0121743292767591,0.00143617847285521,0.0121743292767591
"AbsentNoSportySee_pizza","0010","Pizza",0.520982913338995,0.479017086661005,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0119715911178057,0.00143617847285521,0.0119715911178057
"AbsentNoSportySee_pizza","0010","Hotdog",0.520982913338995,0.479017086661005,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0110072644478777,0.00143617847285521,0.0110072644478777
"AbsentNoSportySee_hotdog","0011","Pizza",0.470194273080328,0.529805726919672,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0108045262889244,0.00143617847285521,0.0108045262889244
"AbsentNoSportySee_hotdog","0011","Hotdog",0.470194273080328,0.529805726919672,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0121743292767591,0.00143617847285521,0.0121743292767591
"AbsentYesLazySee_pizza","0100","Pizza",0.520982913338995,0.479017086661005,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0119715911178057,0.00143617847285521,0.0119715911178057
"AbsentYesLazySee_pizza","0100","Hotdog",0.520982913338995,0.479017086661005,0,0,0,0,1,0.729771517193888,0.378123652362289,0.239491155269497,0.347710786454943,0.5,0.5,0.5,0.5,0.0110072644478777,0.00143617847285521,0.0110072644478777
