"","P","K","C","S","Pu_path","Ku_path","Cu_path","Su_path","br_path","sem_path","prior_path","condition_path","posterior_path","Pu_food","Ku_food","Cu_food","Su_food","br_food","sem_food","prior_food","condition_food","posterior_food","pFood","pPath","postFood","postPath"
"1",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,0,0,0,FALSE,9.22488891811912e-11,"c00000",2.83064296854033e-09,2,2,64,64
"2",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,0,1,1,0,FALSE,0.000460117279472598,"c00000",0.0141186279141513,2,2,64,64
"3",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,0,0,0,0,FALSE,1.95787845672427e-11,"c00000",6.00771991508504e-10,2,2,64,64
"4",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,0,0,0,1,TRUE,1.79694649020388e-11,"c00001",6.00771991508504e-10,2,2,64,64
"5",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,0,1,0,FALSE,2.19822019520893e-16,"c00000",6.74520484105752e-15,2,2,64,64
"6",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,0,1,1,TRUE,2.01753283045202e-16,"c00001",6.74520484105752e-15,2,2,64,64
"7",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,1,0,1,TRUE,0.0226809888212687,"c00001",0.758292074795712,2,2,64,64
"8",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,0,1,0,FALSE,8.09268318291524e-12,"c00000",2.48322738102024e-10,2,2,64,64
"9",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,1,0,0,0,FALSE,1.18063381429017e-14,"c00000",3.6227566906278e-13,2,2,64,64
"10",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,0,0,1,0,FALSE,1.71758058027165e-12,"c00000",5.27036957908287e-11,2,2,64,64
"11",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,0,0,0,FALSE,2.50576189133152e-15,"c00000",7.68889180291623e-14,2,2,64,64
"12",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,0,0,1,TRUE,2.29979548549112e-15,"c00001",7.68889180291623e-14,2,2,64,64
"13",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,1,0,1,1,TRUE,9.50596099857869e-16,"c00001",3.17812197049359e-14,2,2,64,64
"14",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,1,1,1,TRUE,0.00198972647188465,"c00001",0.0665224001709537,2,2,64,64
"15",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,0,0,1,TRUE,8.46662963525793e-11,"c00001",2.83064296854033e-09,2,2,64,64
"16",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,1,0,1,0,FALSE,1.03573013170063e-15,"c00000",3.17812197049359e-14,2,2,64,64
"17",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,1,1,1,TRUE,5.40470547849007e-08,"c00001",1.80695178823105e-06,2,2,64,64
"18",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,1,0,1,TRUE,6.16085006014784e-07,"c00001",2.05975313132467e-05,2,2,64,64
"19",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,1,0,0,1,TRUE,1.0835891173522e-14,"c00001",3.6227566906278e-13,2,2,64,64
"20",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,1,0,0,FALSE,0.0247122658534633,"c00000",0.758292074795712,2,2,64,64
"21",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,1,1,0,1,TRUE,2.90279293134155e-06,"c00001",9.70488937653906e-05,2,2,64,64
"22",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,0,1,1,TRUE,7.42748794846126e-12,"c00001",2.48322738102024e-10,2,2,64,64
"23",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,0,1,1,0,FALSE,0.00216792353879996,"c00000",0.0665224001709537,2,2,64,64
"24",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,0,0,1,1,TRUE,1.57640040665514e-12,"c00001",5.27036957908287e-11,2,2,64,64
"25",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,1,1,0,FALSE,5.88874319795399e-08,"c00000",1.80695178823105e-06,2,2,64,64
"26",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,1,1,0,0,FALSE,6.71260701063133e-07,"c00000",2.05975313132467e-05,2,2,64,64
"27",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,1,0,1,0,0,FALSE,0.0052448992460284,"c00000",0.160938926238039,2,2,64,64
"28",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,1,1,0,0,FALSE,3.16276292899535e-06,"c00000",9.70488937653906e-05,2,2,64,64
"29",0,0,0,0,0,0,0,0,0,FALSE,1.82207395284664e-09,"c00000",2.91534261371405e-08,0,1,1,1,1,TRUE,2.54652210421876e-07,"c00001",8.51377135775676e-06,2,2,64,64
