"","P","K","C","S","sem_food","prior_food","sem_path","prior_path","pChoice","pChoiceNorm"
"1",0,0,0,0,FALSE,0.0325893764089793,FALSE,0.0624994792816265,0.00203681905567413,0.521425678252577
"2",0,0,0,0,FALSE,0.0325893764089793,TRUE,5.20718373469923e-07,1.69698870760828e-08,4.34429109147719e-06
"3",0,0,0,0,TRUE,0.0299106235910207,FALSE,0.0624994792816265,0.00186939839942753,0.478565990253448
"4",0,0,0,0,TRUE,0.0299106235910207,TRUE,5.20718373469923e-07,1.55750112657874e-08,3.98720288404158e-06
"5",0,0,0,1,FALSE,0.0299609992349638,FALSE,0.0624994792816265,0.00187254685094245,0.479371993841266
"6",0,0,0,1,FALSE,0.0299609992349638,TRUE,5.20718373469923e-07,1.5601242789164e-08,3.99391815402597e-06
"7",0,0,0,1,TRUE,0.0325390007650362,FALSE,0.0624994792816265,0.00203367060415921,0.520619674664758
"8",0,0,0,1,TRUE,0.0325390007650362,TRUE,5.20718373469923e-07,1.69436555527062e-08,4.3375758214928e-06
"9",0,0,1,0,FALSE,0.0325893764089793,FALSE,0.0324266788441719,0.0010567652425458,0.270531902091726
"10",0,0,1,0,FALSE,0.0325893764089793,TRUE,0.0300733211558281,0.000980070783015402,0.250898120451943
"11",0,0,1,0,TRUE,0.0299106235910207,FALSE,0.0324266788441719,0.00096990218521494,0.248294959415025
"12",0,0,1,0,TRUE,0.0299106235910207,TRUE,0.0300733211558281,0.000899511789223855,0.230275018041307
"13",0,0,1,1,FALSE,0.0299609992349638,FALSE,0.0324266788441719,0.00097153570004265,0.248713139210918
"14",0,0,1,1,FALSE,0.0299609992349638,TRUE,0.0300733211558281,0.000901026752142586,0.230662848548502
"15",0,0,1,1,TRUE,0.0325390007650362,FALSE,0.0324266788441719,0.00105513172771809,0.270113722295832
"16",0,0,1,1,TRUE,0.0325390007650362,TRUE,0.0300733211558281,0.000978555820096671,0.250510289944748
"17",0,1,0,0,FALSE,0.0325852060394022,FALSE,0.0624994792816273,0.00203655840974717,0.521358952895277
"18",0,1,0,0,FALSE,0.0325852060394022,TRUE,5.20718372733671e-07,1.69677154640289e-08,4.3437351587914e-06
"19",0,1,0,0,TRUE,0.0299147939605978,FALSE,0.0624994792816273,0.00186965904535453,0.478632715610759
"20",0,1,0,0,TRUE,0.0299147939605978,TRUE,5.20718372733671e-07,1.55771828318255e-08,3.98775880494733e-06
"21",0,1,0,1,FALSE,0.0299571652113194,FALSE,0.0624994792816273,0.00187230722646114,0.479310649974052
"22",0,1,0,1,FALSE,0.0299571652113194,TRUE,5.20718372733671e-07,1.5599246320552e-08,3.99340705806131e-06
"23",0,1,0,1,TRUE,0.0325428347886806,FALSE,0.0624994792816273,0.00203391022864056,0.520681018531984
"24",0,1,0,1,TRUE,0.0325428347886806,TRUE,5.20718372733671e-07,1.69456519753025e-08,4.33808690567743e-06
"25",0,1,1,0,FALSE,0.0325852060394022,FALSE,0.0324266788866931,0.00105663001269643,0.270497283250285
"26",0,1,1,0,FALSE,0.0325852060394022,TRUE,0.0300733211133069,0.000979945364766212,0.25086601338015
"27",0,1,1,0,TRUE,0.0299147939605978,FALSE,0.0324266788866931,0.000970037417721889,0.248329578936804
"28",0,1,1,0,TRUE,0.0299147939605978,TRUE,0.0300733211133069,0.000899637204815472,0.230307124432761
"29",0,1,1,1,FALSE,0.0299571652113194,FALSE,0.0324266788866931,0.000971411376663067,0.248681312425745
"30",0,1,1,1,FALSE,0.0299571652113194,TRUE,0.0300733211133069,0.000900911449044396,0.230633330955365
"31",0,1,1,1,TRUE,0.0325428347886806,FALSE,0.0324266788866931,0.00105525605375525,0.270145549761344
"32",0,1,1,1,TRUE,0.0325428347886806,TRUE,0.0300733211133069,0.000978671120537287,0.250539806857546
"33",1,0,0,0,FALSE,0.0268836297140461,FALSE,0.0624995554081411,0.00168021490488497,0.430135015650553
"34",1,0,0,0,FALSE,0.0268836297140461,TRUE,4.44591858931927e-07,1.19522429094054e-08,3.05977418480777e-06
"35",1,0,0,0,TRUE,0.0356163702859539,FALSE,0.0624995554081411,0.00222600730812384,0.569857870879704
"36",1,0,0,0,TRUE,0.0356163702859539,TRUE,4.44591858931927e-07,1.58347482738401e-08,4.05369555810306e-06
"37",1,0,0,1,FALSE,0.024715428708653,FALSE,0.0624995554081411,0.00154470330601242,0.39544404633918
"38",1,0,0,1,FALSE,0.024715428708653,TRUE,4.44591858931927e-07,1.09882783938796e-08,2.81299926883317e-06
"39",1,0,0,1,TRUE,0.037784571291347,FALSE,0.0624995554081411,0.0023615189069964,0.604548840191078
