"","index","vA","uAuB","vAe","vB","vBe","E","Pr","cond","group","node","cp","wa","node2","grp","uAuB2"
"37",10,1,"01",0,0,1,0,0.0025,0.05,3,"A",0,0,"A","A=1, B=0, | E=0","Au=0, Bu=1"
"38",10,1,"01",0,0,1,0,0.0025,0.05,3,"Au=0",0.362338880440152,0.0181169440220076,"Au","A=1, B=0, | E=0","Au=0, Bu=1"
"39",10,1,"01",0,0,1,0,0.0025,0.05,3,"B",0.375455803276987,0.0187727901638494,"B","A=1, B=0, | E=0","Au=0, Bu=1"
"40",10,1,"01",0,0,1,0,0.0025,0.05,3,"Bu=1",0,0,"Bu","A=1, B=0, | E=0","Au=0, Bu=1"
"41",11,0,"11",1,0,1,0,0.0225,0.45,1,"A",0.412191778546606,0.185486300345972,"A","A=0, B=0, | E=0","Au=1, Bu=1"
"42",11,0,"11",1,0,1,0,0.0225,0.45,1,"Au=1",0,0,"Au","A=0, B=0, | E=0","Au=1, Bu=1"
"43",11,0,"11",1,0,1,0,0.0225,0.45,1,"B",0.291881925487493,0.131346866469372,"B","A=0, B=0, | E=0","Au=1, Bu=1"
"44",11,0,"11",1,0,1,0,0.0225,0.45,1,"Bu=1",0,0,"Bu","A=0, B=0, | E=0","Au=1, Bu=1"
"45",12,1,"11",1,0,1,0,0.0225,0.45,3,"A",0,0,"A","A=1, B=0, | E=0","Au=1, Bu=1"
"46",12,1,"11",1,0,1,0,0.0225,0.45,3,"Au=1",0,0,"Au","A=1, B=0, | E=0","Au=1, Bu=1"
"47",12,1,"11",1,0,1,0,0.0225,0.45,3,"B",0.787986614645017,0.354593976590258,"B","A=1, B=0, | E=0","Au=1, Bu=1"
"48",12,1,"11",1,0,1,0,0.0225,0.45,3,"Bu=1",0,0,"Bu","A=1, B=0, | E=0","Au=1, Bu=1"
"49",13,0,"01",0,1,1,0,0.0225,0.05,2,"A",0.46085257501058,0.023042628750529,"A","A=0, B=1, | E=0","Au=0, Bu=1"
"50",13,0,"01",0,1,1,0,0.0225,0.05,2,"Au=0",0.316158920497752,0.0158079460248876,"Au","A=0, B=1, | E=0","Au=0, Bu=1"
"51",13,0,"01",0,1,1,0,0.0225,0.05,2,"B",0,0,"B","A=0, B=1, | E=0","Au=0, Bu=1"
"52",13,0,"01",0,1,1,0,0.0225,0.05,2,"Bu=1",0,0,"Bu","A=0, B=1, | E=0","Au=0, Bu=1"
"53",14,1,"01",0,1,1,0,0.0225,0.0909090909090909,4,"A",0,0,"A","A=1, B=1, | E=0","Au=0, Bu=1"
"54",14,1,"01",0,1,1,0,0.0225,0.0909090909090909,4,"Au=0",0.809937268376633,0.0736306607615121,"Au","A=1, B=1, | E=0","Au=0, Bu=1"
"55",14,1,"01",0,1,1,0,0.0225,0.0909090909090909,4,"B",0,0,"B","A=1, B=1, | E=0","Au=0, Bu=1"
"56",14,1,"01",0,1,1,0,0.0225,0.0909090909090909,4,"Bu=1",0,0,"Bu","A=1, B=1, | E=0","Au=0, Bu=1"
"57",15,0,"11",1,1,1,0,0.2025,0.45,2,"A",0.869522017427421,0.391284907842339,"A","A=0, B=1, | E=0","Au=1, Bu=1"
"58",15,0,"11",1,1,1,0,0.2025,0.45,2,"Au=1",0,0,"Au","A=0, B=1, | E=0","Au=1, Bu=1"
"59",15,0,"11",1,1,1,0,0.2025,0.45,2,"B",0,0,"B","A=0, B=1, | E=0","Au=1, Bu=1"
"60",15,0,"11",1,1,1,0,0.2025,0.45,2,"Bu=1",0,0,"Bu","A=0, B=1, | E=0","Au=1, Bu=1"
"61",16,1,"11",1,1,1,1,0.2025,1,5,"A",0.612811087905289,0.612811087905289,"A","A=1, B=1, | E=1","Au=1, Bu=1"
"62",16,1,"11",1,1,1,1,0.2025,1,5,"Au=1",0.259006954779802,0.259006954779802,"Au","A=1, B=1, | E=1","Au=1, Bu=1"
"63",16,1,"11",1,1,1,1,0.2025,1,5,"B",0.264909548244864,0.264909548244864,"B","A=1, B=1, | E=1","Au=1, Bu=1"
"64",16,1,"11",1,1,1,1,0.2025,1,5,"Bu=1",0.610924493833173,0.610924493833173,"Bu","A=1, B=1, | E=1","Au=1, Bu=1"
