"","pA","peA","pB","peB"
"1",0.471070170150583,0.380274591392612,0.103329321001376,0.140997934534254
"2",-0.239034912052269,0.87258882164415,0.0405479567494044,0.0732711828411421
"3",0.943568154390666,-0.110787525910984,0.0320717667030612,0.0799085383086022
"4",0.844127692876968,0.480454836074876,-0.0426909057770697,-0.0599334663244512
"5",0.297329965965093,0.182892704513908,-0.104964034613585,0.687169189493328
"6",-0.171020255587336,0.719982919675143,-0.0912724434475967,0.490966481122592
"7",0.735105470392886,-0.0454400960501985,-0.0649520975912102,0.530654914557903
"8",0.786580855077951,0.491014410004488,0.0310577487502787,-0.136418640049246
"9",0.195270448303813,0.169105183487536,0.782459055313423,-0.162483896442382
"10",-0.170586592144864,0.708656434339226,0.486684695345936,-0.143133422989241
"11",0.697362976005091,-0.0968664638416666,0.539985266880148,-0.129277901130221
"12",0.746294967494001,0.468609457886398,-0.168948498455343,0.0275251091266412
"13",-0.0511315795014911,-0.00824834400603301,0.5902773614507,0.755883358663854
"14",0.0629526468525734,-0.309833389426856,0.537482157329474,0.58209869886543
"15",-0.261975062699228,0.0429035172453881,0.528378001132927,0.647161823656894
"16",0.413369833338115,0.227046905940218,0.170570704511852,0.310544638417491
