"","index","vA","uAuB","vAe","vB","vBe","E","Pr","cond","group","node","cp","wa","node2","trialtype","grp","uAuB2"
"1",1,0,"00",0,0,0,0,0.027,0.15,1,"A",0.103772569091063,0.0155658853636594,"A","d1","A=0, B=0, | E=0","Au=0, Bu=0"
"2",1,0,"00",0,0,0,0,0.027,0.15,1,"Au=0",0.0263123673353039,0.00394685510029559,"Au","d1","A=0, B=0, | E=0","Au=0, Bu=0"
"3",1,0,"00",0,0,0,0,0.027,0.15,1,"B",0.327940121488294,0.0491910182232441,"B","d1","A=0, B=0, | E=0","Au=0, Bu=0"
"4",1,0,"00",0,0,0,0,0.027,0.15,1,"Bu=0",0.446172598299768,0.0669258897449652,"Bu","d1","A=0, B=0, | E=0","Au=0, Bu=0"
"5",2,1,"00",0,0,0,0,0.003,0.5,4,"A",0,0,"A","d4","A=1, B=0, | E=0","Au=0, Bu=0"
"6",2,1,"00",0,0,0,0,0.003,0.5,4,"Au=0",0.749106856824268,0.374553428412134,"Au","d4","A=1, B=0, | E=0","Au=0, Bu=0"
"7",2,1,"00",0,0,0,0,0.003,0.5,4,"B",0.159989040419888,0.0799945202099441,"B","d4","A=1, B=0, | E=0","Au=0, Bu=0"
"8",2,1,"00",0,0,0,0,0.003,0.5,4,"Bu=0",0.202918782215126,0.101459391107563,"Bu","d4","A=1, B=0, | E=0","Au=0, Bu=0"
"9",3,0,"10",1,0,0,0,0.063,0.35,1,"A",0.622362929757356,0.217827025415075,"A","d1","A=0, B=0, | E=0","Au=1, Bu=0"
"10",3,0,"10",1,0,0,0,0.063,0.35,1,"Au=1",0,0,"Au","d1","A=0, B=0, | E=0","Au=1, Bu=0"
"11",3,0,"10",1,0,0,0,0.063,0.35,1,"B",0.25445710617149,0.0890599871600214,"B","d1","A=0, B=0, | E=0","Au=1, Bu=0"
"12",3,0,"10",1,0,0,0,0.063,0.35,1,"Bu=0",0.335826580763071,0.117539303267075,"Bu","d1","A=0, B=0, | E=0","Au=1, Bu=0"
"13",4,1,"10",1,0,0,1,0.007,0.5,5,"A",0.83213553928773,0.416067769643865,"A","d5","A=1, B=0, | E=1","Au=1, Bu=0"
"14",4,1,"10",1,0,0,1,0.007,0.5,5,"Au=1",0.436296871563865,0.218148435781933,"Au","d5","A=1, B=0, | E=1","Au=1, Bu=0"
"15",4,1,"10",1,0,0,1,0.007,0.5,5,"B",0,0,"B","d5","A=1, B=0, | E=1","Au=1, Bu=0"
"16",4,1,"10",1,0,0,1,0.007,0.5,5,"Bu=0",0,0,"Bu","d5","A=1, B=0, | E=1","Au=1, Bu=0"
"17",5,0,"00",0,1,0,0,0.108,0.3,2,"A",0.0936630391923389,0.0280989117577017,"A","d2","A=0, B=1, | E=0","Au=0, Bu=0"
"18",5,0,"00",0,1,0,0,0.108,0.3,2,"Au=0",0.0592639733992881,0.0177791920197864,"Au","d2","A=0, B=1, | E=0","Au=0, Bu=0"
"19",5,0,"00",0,1,0,0,0.108,0.3,2,"B",0,0,"B","d2","A=0, B=1, | E=0","Au=0, Bu=0"
"20",5,0,"00",0,1,0,0,0.108,0.3,2,"Bu=0",0.948689682324375,0.284606904697312,"Bu","d2","A=0, B=1, | E=0","Au=0, Bu=0"
"21",6,1,"00",0,1,0,0,0.012,1,6,"A",0,0,"A","d6","A=1, B=1, | E=0","Au=0, Bu=0"
"22",6,1,"00",0,1,0,0,0.012,1,6,"Au=0",0.570633646980003,0.570633646980003,"Au","d6","A=1, B=1, | E=0","Au=0, Bu=0"
"23",6,1,"00",0,1,0,0,0.012,1,6,"B",0,0,"B","d6","A=1, B=1, | E=0","Au=0, Bu=0"
"24",6,1,"00",0,1,0,0,0.012,1,6,"Bu=0",0.642474996707157,0.642474996707157,"Bu","d6","A=1, B=1, | E=0","Au=0, Bu=0"
"25",7,0,"10",1,1,0,0,0.252,0.7,2,"A",0.352095713183828,0.24646699922868,"A","d2","A=0, B=1, | E=0","Au=1, Bu=0"
"26",7,0,"10",1,1,0,0,0.252,0.7,2,"Au=1",0,0,"Au","d2","A=0, B=1, | E=0","Au=1, Bu=0"
"27",7,0,"10",1,1,0,0,0.252,0.7,2,"B",0,0,"B","d2","A=0, B=1, | E=0","Au=1, Bu=0"
"28",7,0,"10",1,1,0,0,0.252,0.7,2,"Bu=0",0.89057814471479,0.623404701300353,"Bu","d2","A=0, B=1, | E=0","Au=1, Bu=0"
"29",8,1,"10",1,1,0,1,0.028,0.411764705882353,7,"A",0.766904839606289,0.315784345720237,"A","d7","A=1, B=1, | E=1","Au=1, Bu=0"
"30",8,1,"10",1,1,0,1,0.028,0.411764705882353,7,"Au=1",0.3939370879583,0.1622093891593,"Au","d7","A=1, B=1, | E=1","Au=1, Bu=0"
"31",8,1,"10",1,1,0,1,0.028,0.411764705882353,7,"B",0.00810013984181009,0.00333535169956886,"B","d7","A=1, B=1, | E=1","Au=1, Bu=0"
