"","pA","peA","pB","peB"
"1",0.0711735325267645,0.0619253795064928,0.0716945565199197,0.0976516852958248
"2",-0.0132387082075585,0.0575643855701794,0.0730373080858205,0.0988051143548029
"3",0.127109207008367,-0.013981223219801,0.118691691784009,0.177700565823442
"4",-0.0356288447169732,-0.0206021410857582,0.234391800473123,0.26358852059334
"5",0.129565441829264,0.095777183056493,-0.0224986993315413,0.182330225818414
"6",-0.0555296418446828,0.238960056130177,-0.0553042002528884,0.387084794542339
"7",0.199865681650397,-0.0215858334237146,-0.0370514722074329,0.292754503901781
"8",-0.108384299796095,-0.0674511140727529,-0.117950183696213,0.796752385605685
"9",0.114794907958941,0.0812212087858691,0.111415061101782,-0.0223131049088788
"10",-0.0769476319476044,0.34230092699749,0.4205134359348,-0.0899759468903884
"11",0.419221723871068,-0.0475463833983229,0.40236502570427,-0.0866269949981309
"12",-0.145217448470871,-0.0892862642737368,0.797899392370619,-0.176462834076393
"13",0.319783933915714,0.239611373424117,-0.0566511672832939,-0.0687501855873241
"14",-0.152736690038715,0.736428457695283,-0.159295941384034,-0.202270209711058
"15",0.774876964770557,-0.0635752829363739,-0.117184356858952,-0.143686866748016
"16",0.4605648312097,0.26745362324141,0.478302226173021,0.518291353982217
