"","probgroup","trialtype","isLat","n","prop"
"124","6","c2",TRUE,24,0.48
"125","6","c3",FALSE,36,0.679245283018868
"126","6","c3",TRUE,17,0.320754716981132
"127","6","c4",TRUE,50,1
"128","6","c5",FALSE,20,0.357142857142857
"129","6","c5",TRUE,36,0.642857142857143
"130","6","d1",FALSE,39,0.847826086956522
"131","6","d1",TRUE,7,0.152173913043478
"132","6","d2",FALSE,13,0.26530612244898
"133","6","d2",TRUE,36,0.73469387755102
"134","6","d3",FALSE,10,0.238095238095238
"135","6","d3",TRUE,32,0.761904761904762
"136","6","d4",FALSE,15,0.3
"137","6","d4",TRUE,35,0.7
"138","6","d5",FALSE,10,0.232558139534884
"139","6","d5",TRUE,33,0.767441860465116
"140","6","d6",FALSE,7,0.152173913043478
"141","6","d6",TRUE,39,0.847826086956522
"142","6","d7",FALSE,11,0.244444444444444
"143","6","d7",TRUE,34,0.755555555555556
