"","index","pA.x","peA.x","pB.x","peB.x","V5","V6","V7","V8","V9","structure.x","s","run","pgroup.x","pA.y","peA.y","pB.y","peB.y","E","Pr","structure.y","pgroup.y","cond","group"
"1",1,0.173266923582504,0.0625605461539074,0.383556482052776,0.766711293421039,944,4997,7984,4964,5717,"disjunctive",0,1,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"2",1,0.182939785155771,0.0621512659061785,0.395539577455029,0.778962150003422,1019,5041,8029,5068,5573,"disjunctive",0,6,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"3",1,0.18740773580985,0.0530118669921644,0.369902534086036,0.76687491122713,1054,4941,8022,4916,5780,"disjunctive",0,3,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"4",1,0.178773341927861,0.0507286973131929,0.385826164300773,0.770525606019205,962,5040,7992,5012,5735,"disjunctive",0,2,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"5",1,0.183779676317184,0.0560139151639606,0.376306352099631,0.772824327362995,983,4993,8011,4939,5743,"disjunctive",0,7,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"6",1,0.172209300615488,0.0509260950007316,0.380752587345822,0.774423182014062,995,4956,8057,5091,5578,"disjunctive",0,9,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"7",1,0.18616045124581,0.0580391130444819,0.39077215228663,0.766205005564931,1000,4996,7964,5013,5686,"disjunctive",0,8,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"8",1,0.17228129596913,0.0669738143781888,0.389444034299666,0.769348830726468,1003,4968,7994,4952,5714,"disjunctive",0,4,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"9",1,0.195543364745462,0.0548339426297845,0.378557666089739,0.755995148806371,985,5014,8014,4997,5747,"disjunctive",0,5,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"10",1,0.187585414535639,0.0590291318017621,0.367710146296587,0.777183272788397,1048,4999,8062,4905,5745,"disjunctive",0,10,1,0,0,0,0,0,0.045,"disjunctive",1,0.25,1
"11",2,-0.190870725441535,0.0689008749448194,0.373466944959858,0.764835417549366,8988,5031,7962,4918,5747,"disjunctive",0,6,1,1,0,0,0,0,0.005,"disjunctive",1,0.5,4
"12",2,-0.1878566715022,0.060431754855297,0.393180580023799,0.754767683325704,9010,5016,7959,5084,5695,"disjunctive",0,7,1,1,0,0,0,0,0.005,"disjunctive",1,0.5,4
