"tag","condition_verbose","node3","count"
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","br_p=0",3
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","C=0",20
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Ku_f=0",3
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Ku_p=1",1
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","P=0",1
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Pu_f=0",1
"t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route.","Su=0",3
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","br_f=0",1
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","br_p=1",1
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","C=0",1
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","C=1",4
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","K=0",11
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Ku_f=0",1
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Ku_p=0",2
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","P=0",5
"t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route.","Pu_f=0",4
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","br_p=0",2
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","br_p=1",1
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","C=0",3
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","K=0",3
"t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route.","Ku_f=0",4
