"","tag","label"
"1","t000000","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route."
"2","t000100","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route."
"3","t001000","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route."
"4","t001100","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route."
"5","t010000","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route."
"6","t010100","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route."
"7","t011000","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route."
"8","t011100","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route."
"9","t100000","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by short route."
"10","t100100","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by short route."
"11","t101000","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by short route."
"12","t101100","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by short route."
"13","t110000","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by short route."
"14","t110100","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by short route."
"15","t111000","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by short route."
"16","t111100","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by short route."
"17","t000001","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route."
"18","t000101","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route."
"19","t001001","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route."
"20","t001101","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route."
"21","t010001","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route."
"22","t010101","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route."
"23","t011001","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route."
"24","t011101","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route."
"25","t100001","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets pizza by long route."
"26","t100101","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets pizza by long route."
"27","t101001","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets pizza by long route."
"28","t101101","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets pizza by long route."
"29","t110001","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets pizza by long route."
"30","t110101","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets pizza by long route."
"31","t111001","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets pizza by long route."
"32","t111101","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets pizza by long route."
"33","t000010","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route."
"34","t000110","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route."
"35","t001010","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route."
"36","t001110","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route."
"37","t010010","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route."
"38","t010110","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route."
"39","t011010","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route."
"40","t011110","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route."
"41","t100010","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by short route."
"42","t100110","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by short route."
"43","t101010","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by short route."
"44","t101110","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by short route."
"45","t110010","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by short route."
"46","t110110","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by short route."
"47","t111010","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by short route."
"48","t111110","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by short route."
"49","t000011","No preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route."
"50","t000111","No preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route."
"51","t001011","No preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route."
"52","t001111","No preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route."
"53","t010011","No preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route."
"54","t010111","No preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route."
"55","t011011","No preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route."
"56","t011111","No preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route."
"57","t100011","Preference for hotdog, Doesn't know area, Lazy, Starts near pizza. Gets hotdog by long route."
"58","t100111","Preference for hotdog, Doesn't know area, Lazy, Starts near hotdog. Gets hotdog by long route."
"59","t101011","Preference for hotdog, Doesn't know area, Sporty, Starts near pizza. Gets hotdog by long route."
"60","t101111","Preference for hotdog, Doesn't know area, Sporty, Starts near hotdog. Gets hotdog by long route."
"61","t110011","Preference for hotdog, Knows area, Lazy, Starts near pizza. Gets hotdog by long route."
"62","t110111","Preference for hotdog, Knows area, Lazy, Starts near hotdog. Gets hotdog by long route."
"63","t111011","Preference for hotdog, Knows area, Sporty, Starts near pizza. Gets hotdog by long route."
"64","t111111","Preference for hotdog, Knows area, Sporty, Starts near hotdog. Gets hotdog by long route."
