mindsCode,tag,response,index,digit1,digit2,digit3,digit4,digit5,digit6
M445624,t111000,Taylor fancied pizza over his favorite food,655,1,1,1,0,0,0
M062933,t111000,Preferred pizza on this day,2007,1,1,1,0,0,0
M397093,t110110,They wanted a hot dog,868,1,1,0,1,1,0
M064846,t010011,Charlie knows the area well,253,0,1,0,0,1,1
M943977,t000111,"This, too, is irrational.  He was put off my the look of the pizzas.",1718,0,0,0,1,1,1
M682432,t101001,Maybe the hot dog stand had run out of food and they had to go for the next best option,1447,1,0,1,0,0,1
M053971,t101101,They wanted a sporty challenge,1144,1,0,1,1,0,1
M447275,t011011,They wanted to take the long route because they are sporty,708,0,1,1,0,1,1
M244093,t001100,wanted to find alternative to hotdogs,1234,0,0,1,1,0,0
M370640,t001010,Brooklyn prefers hotdogs,376,0,0,1,0,1,0
M019572,t001011,Drew took the longest route to the hot dog caravan because he wanted to exercise,981,0,0,1,0,1,1
M788090,t110000,was too lazy to walk the extra to get hot dogs,422,1,1,0,0,0,0
M066545,t001100,He likes pizza and this was the shortest way to the pizza stand.,1317,0,0,1,1,0,0
M281767,t100100,Harper wanted to get around the corner in the quickest manner possible and then he got a pizza when he saw the truck.,244,1,0,0,1,0,0
M547545,t010000,Charlie chose the closest one,354,0,1,0,0,0,0
M001033,t101011,They don't know the area well so went round the estate.,644,1,0,1,0,1,1
M380199,t111010,Taylor was hungry for hot dogs.,445,1,1,1,0,1,0
M160205,t000110,He just went to the nearest food stand because he is lazy,1576,0,0,0,1,1,0
M068961,t101101,He wanted to see what other food stands were around so he walked around the neighbourhood.,200,1,0,1,1,0,1
M030284,t101011,He was going for a run and saw the hot dog stand,1747,1,0,1,0,1,1
M950776,t001101,Brooklyn wanted to consider the food options before walking to the pizza stand.,920,0,0,1,1,0,1
M833871,t011010,"Drew knew their was a hot dog van on the next corner, and whilst they were near the pizza van, decided to walk to the hot dog van as this is what he wanted to eat on this occasion.",1174,0,1,1,0,1,0
M081743,t101001,Jesse decided to take the longer route as they are sporty.,1804,1,0,1,0,0,1
M637969,t111011,They wanted to take the long route because they are sporty,844,1,1,1,0,1,1
M302180,t000000,Adrian is interested in convenience and does not want to travel far.,191,0,0,0,0,0,0
M008766,t011000,He can see the pizza stand,1361,0,1,1,0,0,0
M368421,t100011,They didn't think to look up a hot dog place on their phone or ask the other vendor.,1833,1,0,0,0,1,1
M885625,t011000,he was very hungry,1733,0,1,1,0,0,0
M001177,t010110,"Charlie went to the nearest food stall because he is lazy,",104,0,1,0,1,1,0
M339130,t100101,H e didnt want hot dogs and therefore kept walking to find something else to eat,1966,1,0,0,1,0,1
M015369,t101011,As he does not know the are he did not bother to walk more and the pizza dod not tempt him because he really wanted to eat hot dog,1475,1,0,1,0,1,1
M087823,t110011,"Parker loves hot dogs so much, that they were willing to walk a little bit further to get to the hot dog stand today.",2060,1,1,0,0,1,1
M004946,t110101,He was in the mood for pizza,1858,1,1,0,1,0,1
M928115,t001110,Brooklyn took the longer route as he wasn't familiar with the area,1680,0,0,1,1,1,0
,t001010,he did not know the area well enough.,1784,0,0,1,0,1,0
M273009,t010000,It was nearest and they are lazy.,849,0,1,0,0,0,0
M248419,t010110,This was the closest food place.,912,0,1,0,1,1,0
M785342,t001001,because they are sporty so enjoy extra walking,141,0,0,1,0,0,1
M995268,t110101,"Parker got to the hot dog stand using the most direct route but found that they were out of stock, so he continued on to the pizza stand instead.",513,1,1,0,1,0,1
M697784,t111010,Walk to the left and the up the road.,1210,1,1,1,0,1,0
M072144,t110100,They knew where the pizza truck was and felt like having pizza even though it was further away than the hot dog truck.,1817,1,1,0,1,0,0
M295035,t101010,just happen to see a hot dog when when trying to familiarise the area,525,1,0,1,0,1,0
M556836,t100111,He wanted to learn his way around the neighbourhood so he took the long route,530,1,0,0,1,1,1
M036671,t011011,He prefers to walk before eating.,276,0,1,1,0,1,1
M920418,t001101,longer way round but direct,429,0,0,1,1,0,1
M740010,t011001,that he wanted to explore before eating,112,0,1,1,0,0,1
M015403,t000011,"Adrian really doesn't like pizza, even though he's lazy he held out hope that there would be other food options and, after walking around the area he doesn't know luckily stumbled upon a hot dog stand, a food which he does tolerate.",952,0,0,0,0,1,1
M061655,t111000,Taylor goes to the pizza stand as he is very hungry,811,1,1,1,0,0,0
M047399,t000001,Adrian wanted to get to know the area.,1423,0,0,0,0,0,1
M833871,t111000,"Taylor would know there is a hot dog truck round the on the next corner, and does not seem to be lazy. I think it is likely that Taylor just wanted pizza this day.",1173,1,1,1,0,0,0
M920418,t011110,closest to the hot dog,432,0,1,1,1,1,0
M784724,t101101,he likes hot dogs but does not mean he wanted to eat hot dogs at that moment so went to pizza instead,1493,1,0,1,1,0,1
M060188,t011010,Today they wanted a hotdog,1727,0,1,1,0,1,0
M073342,t111010,Taylor knows the area and went to their favourite spot,2012,1,1,1,0,1,0
M064601,t001000,Brooklyn was hungry and wanted pizza.,84,0,0,1,0,0,0
M003175,t001010,"Brooklyn saw the pizza truck but wanted to go around the block and explore the area, as he was feeling in the mood to walk a bit. He ended up going in the opposite direction to the pizza truck and found hot dogs on the way",1308,0,0,1,0,1,0
M025532,t001001,Brooklyn got lost,1342,0,0,1,0,0,1
M389494,t101011,They were sporty so didn't mind walking until they found their favourite food,562,1,0,1,0,1,1
M066700,t101001,They see the pizza van but do not want to eat yet. They are not ready to eat when they pass the hot dog van so carry on back to the pizza van. Although hot dog is their favourite this does not necessarily mean they want that all the time - sometimes variety is good.,412,1,0,1,0,0,1
M807351,t001111,Happy to walk to see whats available at both stalls,1293,0,0,1,1,1,1
M445624,t100110,Harpers favorite food is hot dogs,652,1,0,0,1,1,0
M593309,t001110,he was unfamiliar with the area and stopped at the nearest food stand due to being hungry,396,0,0,1,1,1,0
M010509,t111101,Taylor wanted to walk more because he is sporty,466,1,1,1,1,0,1
M606565,t100110,Walked from his friends house to get a hot dog for tea.,1951,1,0,0,1,1,0
M339130,t010010,As it was the quickist way to the hot dog stand and he didnt want pizza,1965,0,1,0,0,1,0
M019551,t111001,Maybe they had run out of hot dogs if he'd gone all the way past the hot dog stand and come back towards the pizza.,1644,1,1,1,0,0,1
M097520,t111010,Their favourite food is hot dogs and they could see it around the corner,1793,1,1,1,0,1,0
M235409,t010110,"It;s a similar distance to each stand, they must like hotdogs more than pizza",765,0,1,0,1,1,0
M227214,t000110,They don't know the area well so went straight to the stand they could see,1868,0,0,0,1,1,0
M020165,t110001,Parker is trying to exercise more and stop being lazy.,147,1,1,0,0,0,1
M085827,t111001,He wanted hot dogs but decided to burn more calories jogging to the pizza stand.,1227,1,1,1,0,0,1
M007369,t000010,He did not want to eat pizza.,287,0,0,0,0,1,0
M019451,t110010,It's the fastest route.,1008,1,1,0,0,1,0
M368421,t011111,He was burning off more calories before a high calorie food.,1835,0,1,1,1,1,1
M096147,t010110,He knows where the hot dog stand is and wanted a hot dog,661,0,1,0,1,1,0
M124396,t011110,it's the quickest,1557,0,1,1,1,1,0
M813935,t110011,He must have gone visiting or doing something else at the other direction.,773,1,1,0,0,1,1
M440728,t001011,He wanted to explore the area before eating.,17,0,0,1,0,1,1
M007251,t010110,They are lazy,1192,0,1,0,1,1,0
M052561,t001011,He took the longer path as he is sporty,2049,0,0,1,0,1,1
M189680,t111000,didnt fancy hotdogs today,1626,1,1,1,0,0,0
M069091,t011000,His favourite food is pizza.,403,0,1,1,0,0,0
M657229,t011101,drew wanted excersise so took the long route,622,0,1,1,1,0,1
M519454,t001111,Brooklyn is happy to get some exercise on the way to the hot dog stand and may have taken the same route regardless.,1272,0,0,1,1,1,1
M188273,t100010,Harper just followed the road and bought hot dogs from the first shop they saw,1649,1,0,0,0,1,0
M978587,t111101,because its the fastest route to the get the sales point,1052,1,1,1,1,0,1
M091317,t011011,Drew chose this path because they are sporty,43,0,1,1,0,1,1
M833871,t101111,Jesse is sporty and so walked around the block of houses to see what options they had. They stopped at the hot dog truck as they sell their favourite food.,1176,1,0,1,1,1,1
M087770,t100001,dont no taken area so taken a walk,214,1,0,0,0,0,1
M788090,t001100,was simply looking and found a pizza van,424,0,0,1,1,0,0
M047399,t110010,Parker really wanted a hot dog so kept walking till he found one.,1424,1,1,0,0,1,0
M279546,t100000,they could not be bothered to look around for the hot dog place even though it is their favourite,611,1,0,0,0,0,0
M795620,t000000,it was the place they could see was close,893,0,0,0,0,0,0
M890052,t101011,Jesse is sporty and walked the longer route to their favourite food,1925,1,0,1,0,1,1
M188273,t101011,Jesse decided to explore the neighborhood until they came to a hot dog stand that was sufficiently far from their starting point,1654,1,0,1,0,1,1
M216624,t100010,Harper took a really short route - cause he was really hungry and wanted to get there with minimal effort,1395,1,0,0,0,1,0
M380199,t010101,Charlie felt like going for a walk before eating.,448,0,1,0,1,0,1
M102412,t010110,he wanted to eat the first food he could get.,1038,0,1,0,1,1,0
M245990,t011101,They wanted to keep fit and went the long way,558,0,1,1,1,0,1
