filename,subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,duration_s,duration,duration_m,rowNo,type,stim1,stim2,stim3,stim4,stimFormat,ITI,ISI,presTime,stimPos,responseType,responseOptions,head,trialText,trialTextPos,subjectGroup,random,tag,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode
522931_231101_122259_M022949.csv,1,Chrome,118.0.0.0,1536,864,Windows,en-GB,2023-11-01_12:17:30,2023-11-01_12:17:30,2023-10-31_10:09:10,M022949,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M022949&batch_id=TYKHTP-01,339.16,330130,5.5021,76,form,,,,,,,,,,comment,,Do you have any comments or feedback regarding the experiment?,,,1,,,,800,,,,,,330130,None,9030,NA
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,56,test,AKL,A start,AKL,APS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t010110,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,122713,Charlie can't be bothered walking to the pizza stand and goes to the closest stand which is the hot dog stand.,50094,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,53,test,ADS,A start,ADS,ANS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t001100,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,143203,He doesn't know that the pizza stand is round the corner.,13693,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,50,test,FDL,B start,FDL,BNL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t100001,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,187424,Harper walks past the hot dog stand as he is lazy and he didn't notice it.,37420,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,51,test,FKS,B start,FKS,BPL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t111011,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,209394,Taylor wants a hotdog.,15185,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,55,test,AKS,A start,AKS,ANL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t011101,0 -300;0 0;0 -300;0 0,803,48,16.74,5995,360,16.65,236998,Drew knows where the pizza stand is but takes the longer route for some extra exercise before his pizza.,20811,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,49,test,FDS,B start,FDS,BPS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t101010,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,268572,His favourite food is hot dogs and went straight there.,24775,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,54,test,ADL,A start,ADL,APL end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t000111,0 -300;0 0;0 -300;0 0,800,48,16.66,5998,360,16.66,293938,Adrian gets lost and ends up taking the longer route to the hot dog stand.,18565,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,52,test,FKL,B start,FKL,BNS end,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,What do you think is the single best explanation for the person's chosen path?,below,6,6,t110000,0 -300;0 0;0 -300;0 0,800,48,16.66,5999,360,16.66,331976,Parker is too lazy to walk to the hotdog stand.,31242,
522931_231101_122322_M701443.csv,6,Chrome,118.0.0.0,1280,720,Windows,en-GB,2023-11-01_12:17:27,2023-11-01_12:17:27,2023-10-31_10:09:10,M701443,TYKHTP-01,https://www.testable.org/experiment/6826/522931/start?participant=M701443&batch_id=TYKHTP-01,368.318,356519,5.9419,74,form,,,,,,,,,,dropdown,Male;Female;Prefer not say,To which gender do you most identify?,,,6,,,,800,,,,,,356519,Female,11799,2
